Aggregated,pathway,gs_number.x,gs_description.x,gs_number.y,gs_description.y,pval,padj,log2err,ES,NES,size,leadingEdge
Adhesion,GOBP_CELL_CELL_ADHESION,GO:0098609,The attachment of one cell to another cell via adhesion molecules. [GOC:dos],GO:0098609,The attachment of one cell to another cell via adhesion molecules. [GOC:dos],0.686567164,0.991944208,0.143758989,0.163662322,0.958730624,399,"c(""EFNA5"", ""IGSF21"", ""CD6"", ""CYFIP2"", ""LYN"", ""CD74"", ""DNAJB6"", ""BMP5"", ""IL23R"", ""PLXNB2"", ""SLC7A11"", ""PCDHGC3"", ""NCK1"", ""CLDN15"", ""DSG3"", ""TYK2"", ""PPM1F"", ""CDH19"", ""ESAM"", ""SELL"", ""HAVCR2"", ""PAG1"", ""NPNT"", ""DLG3"", ""NPTN"", ""ROCK1"", ""PCDHGC4"", ""ITGAD"", ""ZC3H12A"", ""SLITRK3"", ""FNDC3A"", ""PRKCZ"", ""CD24"", ""BMP7"", ""FGFRL1"", ""SFTPD"", ""TNFSF4"", ""PCDH17"", ""CD5"", ""FXYD5"", ""ATP2C1"", ""ADA"", ""KIFC3"", ""FUT7"", ""CLDN12"", ""MYPN"", ""TJP2"", ""PCDHGC5"", ""LAMA5"", ""RASGRP1"", ""IL4R"", ""LILRB4"", ""SCARF2"", ""SOX13"", ""EPB41L5"", 
""ASS1"", ""PTPN22"", ""SHC1"", ""MPZ"", ""PCDHAC1"", ""ICOS"", ""CDH17"", ""ASTN1"", ""PCDHA13"", ""KLRC4-KLRK1"", ""BLK"", ""CD47"", ""NTN1"", ""COL19A1"", ""SDC4"", ""RET"", ""ALCAM"", ""ZBTB1"", ""ITGAL"", ""DUSP10"", ""ITGA9"", ""DSP"", ""PDE5A"", ""RAC2"", ""CD274"", ""PCDHA4"", ""RAG1"", ""PCDHA7"", ""FLOT2"", ""MBP"", ""METAP1"", ""CDH3"", ""PCDHA12"", ""HLA-DQB1"", ""CLEC7A"", ""PCDHA11"", ""CDH10"", ""CTNNB1"", ""PCDHAC2"", ""CDH9"")"
Adhesion,GOBP_LEUKOCYTE_CELL_CELL_ADHESION,GO:0007159,The attachment of a leukocyte to another cell via adhesion molecules. [GOC:go_curators],GO:0007159,The attachment of a leukocyte to another cell via adhesion molecules. [GOC:go_curators],0.408906883,0.991944208,0.136490438,0.195267369,1.017902363,161,"c(""CD6"", ""LYN"", ""CD74"", ""IL23R"", ""NCK1"", ""TYK2"", ""SELL"", ""HAVCR2"", ""PAG1"", ""ROCK1"", ""ZC3H12A"", ""PRKCZ"", ""CD24"", ""BMP7"", ""SFTPD"", ""TNFSF4"", ""CD5"", ""ADA"", ""FUT7"", ""RASGRP1"", ""IL4R"", ""LILRB4"", ""SOX13"", ""ASS1"", ""PTPN22"", ""ICOS"", ""KLRC4-KLRK1"", ""CD47"", ""SDC4"", ""ZBTB1"", ""ITGAL"", ""DUSP10"", ""PDE5A"", ""RAC2"", ""CD274"", ""RAG1"", ""FLOT2"")"
Adhesion,GOBP_POSITIVE_REGULATION_OF_CELL_ADHESION,GO:0045785,"Any process that activates or increases the frequency, rate or extent of cell adhesion. [GOC:go_curators]",GO:0045785,"Any process that activates or increases the frequency, rate or extent of cell adhesion. [GOC:go_curators]",0.318965517,0.991944208,0.161978949,0.191080118,1.037627254,200,"c(""CD6"", ""LYN"", ""CD74"", ""PLEKHA2"", ""IL23R"", ""NCK1"", ""EFEMP2"", ""TYK2"", ""PPM1F"", ""CALR"", ""HAVCR2"", ""NPNT"", ""ROCK1"", ""RHOD"", ""PRKCZ"", ""CD24"", ""BMP7"", ""MIP"", ""C1QBP"", ""TNFSF4"", ""CD5"", ""ADA"", ""FUT7"", ""RASGRP1"", ""IL4R"", ""LILRB4"", ""NEDD9"", ""SOX13"", ""EPB41L5"", ""FLCN"", ""PTPN22"", ""TSC1"", ""ICOS"", ""KLRC4-KLRK1"", ""CD47"", ""RIN2"", ""SDC4"", ""RET"", ""ZBTB1"", ""DUSP10"", ""DAB2"", ""RSU1"", ""CD274"", ""RAG1"", ""FLOT2"", ""ECM2"", ""HLA-DQB1"", ""CYTH3"")"
Adhesion,GOBP_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION,GO:0022409,Any process that activates or increases the rate or extent of cell adhesion to another cell. [GOC:isa_complete],GO:0022409,Any process that activates or increases the rate or extent of cell adhesion to another cell. [GOC:isa_complete],0.473498233,0.991944208,0.116234149,0.198567343,1.000317373,125,"c(""CD6"", ""LYN"", ""CD74"", ""IL23R"", ""NCK1"", ""TYK2"", ""HAVCR2"", ""PRKCZ"", ""CD24"", ""BMP7"", ""TNFSF4"", ""CD5"", ""ADA"", ""FUT7"", ""RASGRP1"", ""IL4R"", ""LILRB4"", ""SOX13"", ""PTPN22"", ""ICOS"", ""KLRC4-KLRK1"", ""CD47"", ""ZBTB1"", ""DUSP10"", ""CD274"", ""RAG1"", ""FLOT2"", ""HLA-DQB1"")"
Adhesion,GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_CELL_CELL_ADHESION,GO:1903039,"Any process that activates or increases the frequency, rate or extent of leukocyte cell-cell adhesion. [GO_REF:0000058, GOC:BHF, GOC:rl, GOC:TermGenie, PMID:21106532]",GO:1903039,"Any process that activates or increases the frequency, rate or extent of leukocyte cell-cell adhesion. [GO_REF:0000058, GOC:BHF, GOC:rl, GOC:TermGenie, PMID:21106532]",0.103199086,0.928949591,0.287805131,0.259241972,1.250936901,102,"c(""CD6"", ""LYN"", ""CD74"", ""IL23R"", ""NCK1"", ""TYK2"", ""HAVCR2"", ""PRKCZ"", ""CD24"", ""TNFSF4"", ""CD5"", ""ADA"", ""FUT7"", ""RASGRP1"", ""IL4R"", ""LILRB4"", ""SOX13"", ""PTPN22"", ""ICOS"", ""KLRC4-KLRK1"", ""CD47"", ""ZBTB1"", ""DUSP10"", ""CD274"", ""RAG1"", ""FLOT2"", ""HLA-DQB1"")"
Adhesion,GOBP_REGULATION_OF_CELL_ADHESION,GO:0030155,"Any process that modulates the frequency, rate or extent of attachment of a cell to another cell or to the extracellular matrix. [GOC:mah]",GO:0030155,"Any process that modulates the frequency, rate or extent of attachment of a cell to another cell or to the extracellular matrix. [GOC:mah]",0.863905325,0.991944208,0.027799559,-0.169515637,-0.853232937,343,"c(""TRPV4"", ""PRKAR1A"", ""VIT"", ""JAG2"", ""PRNP"", ""ABI3BP"", ""DOCK8"", ""F11R"", ""ST3GAL4"", ""FGL1"", ""PAWR"", ""PLA2G2F"", ""BAG4"", ""EMILIN1"", ""BMP4"", ""CBLB"", ""CCDC88B"", ""ITGB1BP1"", ""EMILIN2"", ""ACVRL1"", ""HLA-DMA"", ""SPINK5"", ""PTEN"", ""TPM1"", ""ADAMDEC1"", ""CD164"", ""GPM6B"", ""NOD2"", ""ZDHHC2"", ""PLXNA1"", ""CLASP1"", ""PREX1"", ""EGFLAM"", ""VEGFA"", ""SPTA1"", ""RARA"", ""FN1"", ""PLAU"", ""IFT74"", ""ADAM19"", ""SYK"", ""IL12A"", ""CD9"", ""CXCL12"", ""SPI1"", ""JAK2"", ""C1QTNF1"", ""TFE3"", ""CLASP2"", ""AFDN"", ""ANGPT2"", ""NF1"", ""NRP1"", ""MMP2"", ""ATXN3"", 
""EPHA1"", ""SEMA4D"", ""MINK1"", ""MMP14"", ""DISC1"", ""ZBTB16"", ""ONECUT2"", ""HLA-DQA1"", ""ZNF703"", ""EFNB1"", ""TGFBI"", ""NFKBIZ"", ""CLECL1"", ""CEACAM6"", ""SHH"", ""TNN"", ""STK4"")"
Adhesion,GOBP_REGULATION_OF_CELL_CELL_ADHESION,GO:0022407,"Any process that modulates the frequency, rate or extent of attachment of a cell to another cell. [GOC:isa_complete]",GO:0022407,"Any process that modulates the frequency, rate or extent of attachment of a cell to another cell. [GOC:isa_complete]",0.976623377,0.995376231,0.02625434,-0.153197568,-0.726781668,198,"c(""TRPV4"", ""PRKAR1A"", ""PRNP"", ""DOCK8"", ""F11R"", ""ST3GAL4"", ""FGL1"", ""PAWR"", ""PLA2G2F"", ""BMP4"", ""CBLB"", ""CCDC88B"", ""EMILIN2"", ""HLA-DMA"", ""NOD2"", ""ZDHHC2"", ""VEGFA"", ""SPTA1"", ""RARA"", ""ADAM19"", ""SYK"", ""IL12A"", ""CD9"", ""CXCL12"", ""SPI1"", ""JAK2"", ""C1QTNF1"", ""AFDN"", ""MINK1"", ""ZBTB16"", ""HLA-DQA1"", ""ZNF703"", ""EFNB1"", ""NFKBIZ"", ""CLECL1"", ""CEACAM6"", ""SHH"", ""CELSR2"", ""DUSP3"", ""LAPTM5"", ""VSIG4"", ""RC3H2"", ""SERPINE2"")"
Adhesion,GOCC_ANCHORING_JUNCTION,GO:0070161,A cell junction that mechanically attaches a cell (and its cytoskeleton) to neighboring cells or to the extracellular matrix. [ISBN:0815332181],GO:0070161,A cell junction that mechanically attaches a cell (and its cytoskeleton) to neighboring cells or to the extracellular matrix. [ISBN:0815332181],0.338319908,0.991944208,0.070789909,-0.20397813,-1.043415374,403,"c(""HSPA9"", ""TRPV4"", ""RPL4"", ""ZYX"", ""TLN2"", ""NPHS1"", ""RAP2B"", ""SHROOM2"", ""PCDH12"", ""SYNPO"", ""MYH9"", ""F11R"", ""PKP2"", ""ITGB4"", ""PDCD6IP"", ""FGFR3"", ""EFS"", ""DCHS1"", ""MICALL2"", ""CCDC85C"", ""EPB41L2"", ""SENP1"", ""SLC2A2"", ""AMOTL1"", ""DBN1"", ""ITGB1BP1"", ""CGNL1"", ""ZFYVE21"", ""FLT1"", ""PARVG"", ""CDH5"", ""ITGB3"", ""STXBP6"", ""YWHAB"", ""UBOX5"", ""FZD5"", ""ABCC2"", ""KLHL24"", ""SORBS3"", ""CDH2"", ""ACTB"", ""S100A11"", ""SCN5A"", ""PANX2"", ""KLF11"", ""CNN1"", ""CLASP1"", ""VEGFA"", ""APC"", ""PLXDC1"", ""ITGB6"", ""PI4KA"", ""TSPAN33"", ""PARVB"", ""RPS9"", 
""RAB10"", ""ADGRE5"", ""FBLN7"", ""PLAU"", ""RRAS2"", ""CD9"", ""CDC42EP1"", ""JAK2"", ""PIP5K1A"", ""SYNM"", ""VEZT"", ""ATAT1"", ""CD99L2"", ""CLASP2"", ""AFDN"", ""VAMP5"", ""RPGRIP1L"", ""NRP1"", ""GJC2"", ""FLRT1"", ""GAB1"", ""B4GALT1"", ""FAT2"", ""HSPG2"", ""IQGAP1"")"
Adhesion,GOCC_CELL_SUBSTRATE_JUNCTION,GO:0030055,"A cell junction that forms a connection between a cell and the extracellular matrix. [GOC:aruk, GOC:bc, GOC:hb, GOC:mah, PMID:10419689, PMID:1643657, PMID:16805308, PMID:26923917, PMID:8314002]",GO:0030055,"A cell junction that forms a connection between a cell and the extracellular matrix. [GOC:aruk, GOC:bc, GOC:hb, GOC:mah, PMID:10419689, PMID:1643657, PMID:16805308, PMID:26923917, PMID:8314002]",0.187817259,0.928949591,0.109684062,-0.237310386,-1.143899399,225,"c(""HSPA9"", ""TRPV4"", ""RPL4"", ""ZYX"", ""TLN2"", ""NPHS1"", ""MYH9"", ""ITGB4"", ""PDCD6IP"", ""FGFR3"", ""EFS"", ""EPB41L2"", ""SENP1"", ""ITGB1BP1"", ""ZFYVE21"", ""FLT1"", ""PARVG"", ""ITGB3"", ""YWHAB"", ""UBOX5"", ""SORBS3"", ""CDH2"", ""ACTB"", ""KLF11"", ""CNN1"", ""CLASP1"", ""ITGB6"", ""PI4KA"", ""PARVB"", ""RPS9"", ""RAB10"", ""ADGRE5"", ""FBLN7"", ""PLAU"", ""RRAS2"", ""CD9"", ""CDC42EP1"", ""JAK2"", ""PIP5K1A"", ""ATAT1"", ""CD99L2"", ""CLASP2"", ""NRP1"", ""FLRT1"", ""HSPG2"", ""IQGAP1"")"
Adhesion,GOCC_CELL_SURFACE,GO:0009986,"The external part of the cell wall and/or plasma membrane. [GOC:jl, GOC:mtg_sensu, GOC:sm]",GO:0009986,"The external part of the cell wall and/or plasma membrane. [GOC:jl, GOC:mtg_sensu, GOC:sm]",0.929577465,0.991944208,0.117249717,0.150086363,0.877481953,375,"c(""EFNA5"", ""IGSF21"", ""CD6"", ""CSF2RA"", ""ANTXRL"", ""CD74"", ""IL23R"", ""PLXNB2"", ""SLC7A11"", ""PDGFRB"", ""CRLF2"", ""RTP2"", ""RAMP1"", ""CALR"", ""HAVCR2"", ""MSR1"", ""GP2"", ""NPTN"", ""ITGAD"", ""ADAMTS9"", ""SLITRK3"", ""EPHB2"", ""KCNH5"", ""GPC1"", ""CD24"", ""CAPN2"", ""MAS1"", ""C1QBP"", ""TNFSF4"", ""IL1R1"", ""IL1RL1"", ""PROM1"", ""CD5"", ""LIPG"", ""SLC6A3"", ""ADA"", ""RTN2"", ""SLC4A4"", ""TPBG"", ""PTGFRN"", ""ANTXR1"", ""HBEGF"", ""IL4R"", ""LILRB4"", ""PDGFA"", ""ABCA1"", ""CPM"", ""SLC1A1"", ""CDH17"", ""TSPAN15"", ""DUOX2"", ""ASTN1"", ""LRRTM1"", ""ADGRA2"", ""KLRC4-KLRK1"", 
""INSR"", ""THBD"", ""PLAT"", ""LMO7"", ""NOTCH3"", ""CACNG4"", ""CD47"", ""FCRL1"", ""LY75"", ""CLU"", ""SDC4"", ""ALCAM"", ""ITGAL"", ""FCRL5"", ""KLRD1"", ""CD226"", ""ITGA9"", ""MRC1"", ""UMODL1"", ""ECE1"", ""CD274"", ""PICALM"", ""MBP"", ""ASIC1"", ""HNRNPU"", ""TMPRSS11F"", ""SLC1A4"", ""CLEC7A"")"
