Aggregated,pathway,gs_number.x,gs_description.x,gs_number.y,gs_description.y,pval,padj,log2err,ES,NES,size,leadingEdge
Adhesion,GOBP_CELL_CELL_ADHESION,GO:0098609,The attachment of one cell to another cell via adhesion molecules. [GOC:dos],GO:0098609,The attachment of one cell to another cell via adhesion molecules. [GOC:dos],0.446666667,0.962794632,0.170932335,0.164618882,1.005672515,399,"c(""IGSF21"", ""EFNA5"", ""BMP5"", ""HAVCR2"", ""SLC7A11"", ""PLXNB2"", ""SOX13"", ""PCDHGC3"", ""DUSP10"", ""DNAJB6"", ""SHC1"", ""RASGRP1"", ""LYN"", ""KLRC4-KLRK1"", ""COL19A1"", ""PPM1F"", ""ATP2C1"", ""METAP1"", ""ABL1"", ""CDH19"", ""MPZ"", ""CLIC1"", ""NPTN"", ""DLG3"", ""PCDHGC4"", ""CD6"", ""FLOT2"", ""SLC7A1"", ""LAMA5"", ""TGFBR2"", ""PPARA"", ""SFTPD"", ""IL18"", ""TYK2"", ""CD274"", ""MBP"", ""LOXL3"", ""ITGAL"", ""SDC4"", ""CD5"", ""CLDN14"", ""ADA"", ""COL13A1"", ""PCDHGC5"", ""ROCK1"", ""PELI1"", ""NLGN2"", ""MMRN1"", ""CLDN12"", ""NPNT"", ""AMBRA1"", ""PRKCZ"", ""RC3H1"", ""CD47"", ""RDX"", 
""LGALS3"", ""ESAM"", ""PLEK"", ""PNP"", ""ADAM9"", ""FCHO1"", ""MYPN"", ""PVR"", ""CD84"", ""ITGA9"", ""FERMT3"", ""CD24"", ""IL4R"", ""PTPRU"", ""SCARF2"", ""DPP4"", ""DSG3"", ""ZC3H12A"", ""CD86"", ""ITGAD"", ""FNDC3A"", ""ICAM2"", ""EPB41L5"", ""ZAP70"", ""TNFRSF21"", ""PTPN22"", ""RAG1"", ""WNT3A"", ""SELL"", ""RAC2"", ""RASAL3"", ""TJP2"", ""DLG1"", ""SLITRK3"", ""CLDN15"", ""IL23R"", ""CD28"", ""HLA-DQB1"", ""MAD2L2"", ""TNFSF4"", ""CDH9"", ""ZDHHC21"", ""VTCN1"", ""MAP2K5"", ""VMP1"", ""BMP7"", ""DSC2"")"
Adhesion,GOBP_LEUKOCYTE_CELL_CELL_ADHESION,GO:0007159,The attachment of a leukocyte to another cell via adhesion molecules. [GOC:go_curators],GO:0007159,The attachment of a leukocyte to another cell via adhesion molecules. [GOC:go_curators],0.356,0.962794632,0.146416238,0.191603126,1.043253784,161,"c(""HAVCR2"", ""SOX13"", ""DUSP10"", ""RASGRP1"", ""LYN"", ""KLRC4-KLRK1"", ""CD6"", ""FLOT2"", ""SLC7A1"", ""TGFBR2"", ""PPARA"", ""SFTPD"", ""IL18"", ""TYK2"", ""CD274"", ""LOXL3"", ""ITGAL"", ""SDC4"", ""CD5"", ""ADA"", ""ROCK1"", ""PELI1"", ""AMBRA1"", ""PRKCZ"", ""RC3H1"", ""CD47"", ""LGALS3"", ""PNP"", ""FCHO1"", ""FERMT3"", ""CD24"", ""IL4R"", ""DPP4"", ""ZC3H12A"", ""CD86"", ""ZAP70"", ""TNFRSF21"", ""PTPN22"", ""RAG1"", ""SELL"", ""RAC2"", ""RASAL3"", ""DLG1"", ""IL23R"", ""CD28"", ""HLA-DQB1"", ""TNFSF4"", ""ZDHHC21"", ""VTCN1"")"
Adhesion,GOBP_POSITIVE_REGULATION_OF_CELL_ADHESION,GO:0045785,"Any process that activates or increases the frequency, rate or extent of cell adhesion. [GOC:go_curators]",GO:0045785,"Any process that activates or increases the frequency, rate or extent of cell adhesion. [GOC:go_curators]",0.541994751,0.962794632,0.054455595,-0.196463077,-0.969851976,200,"c(""VIT"", ""ABI3BP"", ""DOCK8"", ""AFDN"", ""F11R"", ""HLA-DMA"", ""SKAP1"", ""EMILIN1"", ""RARA"", ""RPS3"", ""IL27RA"", ""SERPINF2"", ""ST3GAL4"", ""EGFLAM"", ""IFT74"", ""EMILIN2"", ""SELP"", ""SHH"", ""RAC1"", ""TPM1"", ""ZBTB16"", ""CD276"", ""TGM2"", ""ALOX5"", ""CLECL1"", ""CXCL12"", ""PREX1"", ""NFKBIZ"", ""TNFSF13B"", ""SPTA1"", ""TNFRSF14"", ""TEK"", ""TFE3"", ""SFRP2"", ""DENND6A"", ""BAG4"", ""NOD2"", ""IGF2"", ""COL8A1"", ""IL12A"", ""PTPN23"", ""ITGA4"", ""STAT5B"", ""SELE"", ""DMTN"", ""NID1"", ""NKAP"")"
Adhesion,GOBP_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION,GO:0022409,Any process that activates or increases the rate or extent of cell adhesion to another cell. [GOC:isa_complete],GO:0022409,Any process that activates or increases the rate or extent of cell adhesion to another cell. [GOC:isa_complete],0.554945055,0.962794632,0.055479331,-0.207893232,-0.960440325,125,"c(""DOCK8"", ""AFDN"", ""F11R"", ""HLA-DMA"", ""SKAP1"", ""RARA"", ""RPS3"", ""IL27RA"", ""SERPINF2"", ""ST3GAL4"", ""EMILIN2"", ""SELP"", ""SHH"", ""ZBTB16"", ""CD276"", ""ALOX5"", ""CLECL1"", ""NFKBIZ"", ""TNFSF13B"", ""SPTA1"", ""TNFRSF14"", ""DENND6A"", ""NOD2"", ""IGF2"", ""IL12A"", ""PTPN23"", ""ITGA4"", ""STAT5B"", ""SELE"", ""DMTN"", ""NKAP"")"
Adhesion,GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_CELL_CELL_ADHESION,GO:1903039,"Any process that activates or increases the frequency, rate or extent of leukocyte cell-cell adhesion. [GO_REF:0000058, GOC:BHF, GOC:rl, GOC:TermGenie, PMID:21106532]",GO:1903039,"Any process that activates or increases the frequency, rate or extent of leukocyte cell-cell adhesion. [GO_REF:0000058, GOC:BHF, GOC:rl, GOC:TermGenie, PMID:21106532]",0.163701068,0.962794632,0.208955028,0.227922192,1.165185641,102,"c(""HAVCR2"", ""SOX13"", ""DUSP10"", ""RASGRP1"", ""LYN"", ""KLRC4-KLRK1"", ""CD6"", ""FLOT2"", ""SLC7A1"", ""TGFBR2"", ""IL18"", ""TYK2"", ""CD274"", ""CD5"", ""ADA"", ""AMBRA1"", ""PRKCZ"", ""CD47"", ""PNP"", ""FCHO1"", ""CD24"", ""IL4R"", ""DPP4"", ""CD86"", ""ZAP70"", ""PTPN22"", ""RAG1"", ""RASAL3"", ""IL23R"", ""CD28"", ""HLA-DQB1"", ""TNFSF4"", ""VTCN1"")"
Adhesion,GOBP_REGULATION_OF_CELL_ADHESION,GO:0030155,"Any process that modulates the frequency, rate or extent of attachment of a cell to another cell or to the extracellular matrix. [GOC:mah]",GO:0030155,"Any process that modulates the frequency, rate or extent of attachment of a cell to another cell or to the extracellular matrix. [GOC:mah]",0.513189448,0.962794632,0.052805005,-0.187962474,-0.986987944,343,"c(""VIT"", ""TRPV4"", ""ABI3BP"", ""DOCK8"", ""PAWR"", ""AFDN"", ""CD164"", ""F11R"", ""HLA-DMA"", ""SKAP1"", ""ADAMDEC1"", ""PLA2G2F"", ""GPM6B"", ""PRNP"", ""PRKAR1A"", ""EMILIN1"", ""RARA"", ""RPS3"", ""IL27RA"", ""SERPINF2"", ""ST3GAL4"", ""NF1"", ""ATXN3"", ""SERPINE2"", ""EGFLAM"", ""IFT74"", ""EMILIN2"", ""SELP"", ""SHH"", ""RAC1"", ""TPM1"", ""PLAU"", ""ZBTB16"", ""ADTRP"", ""ZNF703"", ""CD276"", ""TGM2"", ""ALOX5"", ""VSIG4"", ""CLECL1"", ""ZDHHC2"", ""CXCL12"", ""PLXNA1"", ""PREX1"", ""NFKBIZ"", ""TNFSF13B"", ""ACVRL1"", ""SPTA1"", ""JAG2"", ""TNFRSF14"", ""TNN"", ""TEK"", ""TFE3"", ""CLASP2"", 
""SFRP2"", ""TGFBI"", ""DENND6A"", ""SEMA4D"", ""BAG4"", ""NOD2"", ""IGF2"", ""DUSP3"", ""COL8A1"", ""IL12A"", ""PTPN23"", ""CLASP1"", ""BCL2"", ""ITGA4"", ""STAT5B"", ""LAMA3"", ""BMP4"", ""SELE"", ""DMTN"", ""NID1"", ""NKAP"", ""MINK1"", ""FN1"", ""ANGPT2"", ""CRTAM"", ""POLDIP2"", ""ACER2"", ""EPHA1"", ""LPXN"", ""PDGFB"", ""ADORA2A"", ""LAPTM5"", ""EFNB1"", ""ITGB1BP1"", ""NRP1"", ""EFNA1"", ""SERPINE1"", ""PPP2R1A"", ""LAMA4"", ""ABCA12"", ""C1QTNF1"", ""RHOH"", ""HAS2"", ""NF2"", ""MMP2"")"
Adhesion,GOBP_REGULATION_OF_CELL_CELL_ADHESION,GO:0022407,"Any process that modulates the frequency, rate or extent of attachment of a cell to another cell. [GOC:isa_complete]",GO:0022407,"Any process that modulates the frequency, rate or extent of attachment of a cell to another cell. [GOC:isa_complete]",0.703166227,0.971119082,0.042759143,-0.183672491,-0.904832527,198,"c(""TRPV4"", ""DOCK8"", ""PAWR"", ""AFDN"", ""F11R"", ""HLA-DMA"", ""SKAP1"", ""PLA2G2F"", ""PRNP"", ""PRKAR1A"", ""RARA"", ""RPS3"", ""IL27RA"", ""SERPINF2"", ""ST3GAL4"", ""SERPINE2"", ""EMILIN2"", ""SELP"", ""SHH"", ""ZBTB16"", ""ADTRP"", ""ZNF703"", ""CD276"", ""ALOX5"", ""VSIG4"", ""CLECL1"", ""ZDHHC2"", ""CXCL12"", ""NFKBIZ"", ""TNFSF13B"", ""SPTA1"", ""TNFRSF14"", ""DENND6A"", ""NOD2"", ""IGF2"", ""DUSP3"", ""IL12A"", ""PTPN23"", ""ITGA4"", ""STAT5B"", ""BMP4"", ""SELE"", ""DMTN"", ""NKAP"", ""MINK1"")"
Adhesion,GOCC_ANCHORING_JUNCTION,GO:0070161,A cell junction that mechanically attaches a cell (and its cytoskeleton) to neighboring cells or to the extracellular matrix. [ISBN:0815332181],GO:0070161,A cell junction that mechanically attaches a cell (and its cytoskeleton) to neighboring cells or to the extracellular matrix. [ISBN:0815332181],0.692397661,0.971119082,0.037927147,-0.172915212,-0.923694046,403,"c(""TSPAN33"", ""TRPV4"", ""HSPA9"", ""CLDN11"", ""AFDN"", ""F11R"", ""YWHAB"", ""SKAP1"", ""DSC1"", ""PCDH12"", ""CGNL1"", ""SENP1"", ""APC"", ""NPHS1"", ""DCHS1"", ""GJC2"", ""RPL4"", ""S100A11"", ""RPS3"", ""RRAS2"", ""PKP2"", ""FGFR3"", ""SORBS3"", ""RAP2B"", ""MICALL2"", ""UBA1"", ""KLF11"", ""SYNPO"", ""EFS"", ""ACTB"", ""KLHL24"", ""ZYX"", ""IGSF5"", ""RAC1"", ""PARVG"", ""PLAU"", ""ARHGEF2"", ""MTF2"", ""SLC2A2"", ""ENG"", ""DNMBP"", ""TGM2"", ""FZD5"", ""GAB1"", ""CD99L2"", ""FBLN7"", ""PANX2"", ""LASP1"", ""ATAT1"", ""SHROOM2"", ""PDCD6IP"", ""FAT2"", ""MYH9"", ""MSN"", ""TNFSF13B"", ""EPB41L2"", 
""TEK"", ""CCDC85A"", ""CLASP2"", ""FLT1"", ""SSX2IP"", ""GSN"", ""CSRP2"", ""PARVB"", ""ERBIN"", ""ITGB3"", ""ATP6V0C"", ""PDIA3"", ""UBOX5"", ""FLII"", ""CLASP1"", ""ITGA4"", ""ITGB4"", ""SGCA"", ""NECTIN1"", ""PAK1"", ""ACTN3"", ""PLXDC1"", ""PDPK1"", ""NCKAP1"", ""PARD6G"", ""CNN1"", ""PI4KA"", ""POLDIP2"", ""PRKCG"", ""RAB10"", ""STXBP6"", ""ITGB6"", ""SDCBP"", ""LPXN"", ""ABCC2"", ""DBN1"", ""CADM4"", ""ZFYVE21"", ""ITGB1BP1"", ""THSD1"", ""PIP5K1A"", ""NRP1"", ""IQGAP1"", ""ADGRE5"", ""TGFB1I1"", ""CCDC85C"", ""CLDN4"")"
Adhesion,GOCC_CELL_SUBSTRATE_JUNCTION,GO:0030055,"A cell junction that forms a connection between a cell and the extracellular matrix. [GOC:aruk, GOC:bc, GOC:hb, GOC:mah, PMID:10419689, PMID:1643657, PMID:16805308, PMID:26923917, PMID:8314002]",GO:0030055,"A cell junction that forms a connection between a cell and the extracellular matrix. [GOC:aruk, GOC:bc, GOC:hb, GOC:mah, PMID:10419689, PMID:1643657, PMID:16805308, PMID:26923917, PMID:8314002]",0.322033898,0.962794632,0.079770592,-0.214072139,-1.066080084,225,"c(""TRPV4"", ""HSPA9"", ""YWHAB"", ""SENP1"", ""NPHS1"", ""RPL4"", ""RPS3"", ""RRAS2"", ""FGFR3"", ""SORBS3"", ""KLF11"", ""EFS"", ""ACTB"", ""ZYX"", ""RAC1"", ""PARVG"", ""PLAU"", ""ARHGEF2"", ""MTF2"", ""ENG"", ""TGM2"", ""CD99L2"", ""FBLN7"", ""LASP1"", ""ATAT1"", ""PDCD6IP"", ""MYH9"", ""MSN"", ""TNFSF13B"", ""EPB41L2"", ""TEK"", ""CLASP2"", ""FLT1"", ""GSN"", ""CSRP2"", ""PARVB"", ""ERBIN"", ""ITGB3"", ""ATP6V0C"", ""PDIA3"", ""UBOX5"", ""FLII"", ""CLASP1"", ""ITGA4"", ""ITGB4"", ""PAK1"", ""ACTN3"", ""PDPK1"", ""NCKAP1"", ""CNN1"", ""PI4KA"", ""RAB10"", ""ITGB6"", ""SDCBP"", ""LPXN"", ""ZFYVE21"", ""ITGB1BP1"", 
""THSD1"", ""PIP5K1A"", ""NRP1"", ""IQGAP1"", ""ADGRE5"", ""TGFB1I1"", ""ARPC3"", ""DCAF6"", ""TLN2"", ""KIF23"", ""ADAM10"", ""HSPG2"", ""DCTN4"", ""AKAP12"", ""PPP1R12A"", ""JAK2"", ""TNS1"", ""EHD3"", ""CDH2"")"
Adhesion,GOCC_CELL_SURFACE,GO:0009986,"The external part of the cell wall and/or plasma membrane. [GOC:jl, GOC:mtg_sensu, GOC:sm]",GO:0009986,"The external part of the cell wall and/or plasma membrane. [GOC:jl, GOC:mtg_sensu, GOC:sm]",0.598639456,0.962794632,0.147331214,0.159523424,0.965998651,375,"c(""EPHB2"", ""MRC1"", ""IGSF21"", ""EFNA5"", ""PDGFRB"", ""HAVCR2"", ""CACNG4"", ""SLC7A11"", ""PLXNB2"", ""CALR"", ""LIPG"", ""SLC6A3"", ""MET"", ""INSR"", ""MAS1"", ""KLRC4-KLRK1"", ""C1QBP"", ""CPM"", ""AJAP1"", ""CD226"", ""RTP2"", ""LMO7"", ""SLC1A1"", ""NPTN"", ""CD6"", ""LAMP1"", ""PICALM"", ""CAPN2"", ""MSR1"", ""TPBG"", ""TGFBR2"", ""ANPEP"", ""CD274"", ""MBP"", ""THBD"", ""ITGAL"", ""LDLR"", ""SDC4"", ""CD5"", ""KCNH5"", ""ANTXRL"", ""ADA"", ""PDGFA"", ""TMPRSS11F"", ""GPC1"", ""NLGN2"", ""CD47"", ""LGALS3"", ""ENTPD6"", ""ADAM9"", ""PVR"", ""GRIN1"", ""NGFR"", ""CD84"", ""ITGA9"", ""LRP8"", ""F2"", 
""CD24"", ""IL4R"", ""PTGFRN"", ""ABCA1"", ""DPP4"", ""DUOX2"", ""KCNA1"", ""CD86"", ""ITGAD"", ""DIP2A"", ""ANOS1"", ""WNT3A"", ""LMAN2"", ""IL1R1"", ""GP2"", ""RTN2"", ""IL1RL1"", ""FCRL1"", ""NOTCH2"", ""SLITRK3"", ""USP14"", ""IL23R"", ""APP"", ""CD28"", ""MICA"", ""GPC2"", ""TF"", ""TNFSF4"", ""ADAM15"", ""MELTF"", ""ECE1"", ""FOLR1"", ""NOTCH3"", ""ERP29"", ""VTCN1"")"
