"","show","Aggregated","pathway","gs_number","gs_description","pval","padj","log2err","ES","NES","size","leadingEdge"
"1","","Adhesion","GOBP_CELL_CELL_ADHESION","GO:0098609","The attachment of one cell to another cell via adhesion molecules. [GOC:dos]","1","1","0","-0.170748489714458","-0.64794750668644","358","c(""PTPRM"", ""HLA-E"", ""CDH4"", ""SOX9"", ""ADA"", ""ASS1"", ""CDH3"", ""TJP3"", ""CASP3"", ""SWAP70"", ""FADD"", ""SCARF2"", ""FGA"", ""APOA4"", ""EPO"", ""LPP"", ""RAB10"", ""PPM1F"", ""NCK2"", ""BAIAP2"", ""FOXO3"", ""SART1"", ""CDH1"", ""MINK1"", ""PDE5A"", ""IL2RA"", ""EZR"", ""SFTPD"", ""KRT18"", ""ARG1"", ""CDHR2"", ""GLI2"", ""DHPS"", ""IL18"", ""CD2AP"", ""ARG2"", ""STXBP3"", ""SLAMF1"", ""PRDX2"", ""DSG2"", ""IL7R"", ""CD46"", ""CD200R1"", ""CD28"", ""IDO1"", ""APOA1"", ""ABL1"", ""BOC"", ""KIRREL2"", ""ROBO4"", ""TFRC"", ""CXCL12"", ""CD3E"", ""ZP4"", ""PRKAR1A"", ""PDLIM5"", ""PTPN6"", ""TARM1"", 
""SOX2"", ""FCGR2B"", ""PAG1"", ""PAK4"", ""SELE"", ""DLG4"", ""PALLD"", ""TNFAIP8L2"", ""AMIGO1"", ""PRKG1"", ""CD34"", ""CTLA4"", ""SKAP1"", ""LAG3"", ""MAD1L1"", ""FGL1"", ""CORO1A"", ""CD5"", ""CRTAM"", ""PRKCQ"", ""CDON"", ""TNIP1"", ""SERPINB8"", ""SDK2"", ""SEMA4D"", ""SERPINF2"", ""NINJ1"", ""MYH9"", ""TGFB1"", ""CD93"", ""LGALS3"", ""XCL1"", ""RNASE10"", ""NLGN1"", ""CD70"", ""BSG"", ""ITGB7"", ""SRC"", ""AIF1"", ""SIGLEC1"", ""LYN"", ""NT5E"", ""IL10"", ""BMP4"", ""FXYD5"", ""SHH"", ""LILRB2"", ""NEXN"", ""VCAM1"", ""SCRIB"", ""ADAM9"", ""CCN1"", ""IL12B"", ""LAMB1"", ""ICAM2"", ""CD4"", ""CXCL13"", 
""IGSF9"", ""PDGFRA"", ""EPCAM"", ""CD80"", ""GP1BA"", ""ZBTB16"", ""LILRB1"", ""KLRK1"", ""CDH17"", ""CXADR"", ""DNAJB6"", ""EPB41L5"", ""CDH5"", ""NECTIN2"", ""NEO1"", ""CLEC4M"", ""CD209"", ""CDHR5"", ""ANXA1"", ""ICAM3"", ""BCL2"", ""CR1"", ""GCNT1"", ""CCL19"", ""ITGB1"", ""TNFRSF13C"", ""PLG"", ""YES1"", ""ZP3"", ""KIRREL1"", ""IL4R"", ""ITGA2"", ""IGDCC3"", ""CTNNA1"", ""PVR"", ""ICAM1"", ""CD86"", ""IFNG"", ""ERBB2"", ""NRXN3"", ""IL12RB1"", ""SERPINE2"", ""AP3B1"", ""IL2"", ""HSPB1"", ""TNF"", ""TNFSF9"", ""TNFSF13B"", ""DSG4"", ""RGCC"", ""PCDH7"", ""ANXA2"", ""PCDHB15"", ""IL20RB"", ""ICOSLG"", 
""DSG3"", ""SELPLG"", ""PECAM1"", ""AGER"", ""GP6"", ""SDC4"", ""PODXL"", ""S100A11"", ""CRNN"", ""DCC"", ""PLXNB3"", ""PEAR1"", ""ADGRV1"", ""LEP"", ""HLA-DRA"", ""METAP1"", ""SLITRK2"", ""ROBO2"", ""IL1B"", ""DUSP3"", ""SELL"", ""DPP4"", ""F11R"", ""CCL5"", ""CD55"", ""ITGAM"", ""CEBPB"", ""ICAM4"", ""ITGAV"", ""VNN1"", ""IGDCC4"")"
"2","","Adhesion","GOBP_LEUKOCYTE_CELL_CELL_ADHESION","GO:0007159","The attachment of a leukocyte to another cell via adhesion molecules. [GOC:go_curators]","0.895104895104895","1","0.0156180851425484","-0.222368634846694","-0.817313526238802","168","c(""HLA-E"", ""ADA"", ""ASS1"", ""CASP3"", ""FADD"", ""APOA4"", ""EPO"", ""NCK2"", ""FOXO3"", ""SART1"", ""PDE5A"", ""IL2RA"", ""EZR"", ""SFTPD"", ""ARG1"", ""GLI2"", ""DHPS"", ""IL18"", ""ARG2"", ""SLAMF1"", ""PRDX2"", ""IL7R"", ""CD46"", ""CD28"", ""IDO1"", ""TFRC"", ""CXCL12"", ""CD3E"", ""ZP4"", ""PRKAR1A"", ""PTPN6"", ""TARM1"", ""FCGR2B"", ""PAG1"", ""SELE"", ""TNFAIP8L2"", ""CTLA4"", ""SKAP1"", ""LAG3"", ""MAD1L1"", ""FGL1"", ""CORO1A"", ""CD5"", ""CRTAM"", ""PRKCQ"", ""TNIP1"", ""SEMA4D"", ""LGALS3"", ""XCL1"", ""CD70"", ""ITGB7"", ""SRC"", ""AIF1"", ""LYN"", ""NT5E"", ""IL10"", ""BMP4"", ""SHH"", ""LILRB2"", 
""VCAM1"", ""SCRIB"", ""IL12B"", ""CD4"", ""CD80"", ""ZBTB16"", ""LILRB1"", ""KLRK1"", ""CLEC4M"", ""CD209"", ""ANXA1"", ""CR1"", ""GCNT1"", ""CCL19"", ""ITGB1"", ""TNFRSF13C"", ""YES1"", ""ZP3"", ""IL4R"", ""ICAM1"", ""CD86"", ""IFNG"", ""ERBB2"", ""IL12RB1"", ""AP3B1"", ""IL2"", ""TNF"", ""TNFSF9"", ""TNFSF13B"", ""IL20RB"", ""ICOSLG"", ""SELPLG"", ""PECAM1"", ""AGER"", ""SDC4"", ""LEP"", ""HLA-DRA"", ""IL1B"", ""DUSP3"", ""SELL"", ""DPP4"", ""F11R"", ""CCL5"", ""CD55"", ""CEBPB"", ""VNN1"")"
"3","","Adhesion","GOBP_POSITIVE_REGULATION_OF_CELL_ADHESION","GO:0045785","Any process that activates or increases the frequency, rate or extent of cell adhesion. [GOC:go_curators]","0.959040959040959","1","0.00942834302346016","-0.207253487126135","-0.765274648976243","189","c(""HLA-E"", ""ADA"", ""C1QBP"", ""TGM2"", ""RAC3"", ""FADD"", ""FGA"", ""CYTH3"", ""EPO"", ""FUT1"", ""PPM1F"", ""NCK2"", ""FOXO3"", ""SART1"", ""IL2RA"", ""GLI2"", ""DHPS"", ""IL18"", ""BAG4"", ""RRAS"", ""SLAMF1"", ""IL7R"", ""CD46"", ""EPHA1"", ""CD28"", ""APOA1"", ""ABL1"", ""TFRC"", ""CRKL"", ""CXCL12"", ""CD3E"", ""ZP4"", ""PTPN6"", ""LIF"", ""SOX2"", ""APBB1IP"", ""STX4"", ""SELE"", ""SKAP1"", ""CORO1A"", ""CD5"", ""PRKCQ"", ""DAB2"", ""SERPINF2"", ""STX3"", ""PRKD2"", ""AGR2"", ""XCL1"", ""RNASE10"", ""CD70"", ""SRC"", ""AIF1"", ""LYN"", ""IL10"", ""SHH"", ""LILRB2"", ""VCAM1"", ""ADAM9"", ""STK4"", ""P4HB"", 
""CCN1"", ""IL12B"", ""CD4"", ""CXCL13"", ""AZU1"", ""CD80"", ""ZBTB16"", ""LILRB1"", ""NEDD9"", ""TSC1"", ""KLRK1"", ""EPB41L5"", ""EGFLAM"", ""CD209"", ""ANXA1"", ""VAV3"", ""CR1"", ""CCL19"", ""TNFRSF13C"", ""YES1"", ""SMAD3"", ""ZP3"", ""IL4R"", ""DMP1"", ""ITGA2"", ""CD86"", ""IFNG"", ""ERBB2"", ""IL12RB1"", ""AP3B1"", ""IL2"", ""TNF"", ""TNFSF9"", ""TNFSF13B"", ""CSPG5"", ""ICOSLG"", ""AGER"", ""GP6"", ""SDC4"", ""PODXL"", ""LEP"", ""HLA-DRA"", ""TEK"", ""IL1B"", ""SFRP1"", ""DPP4"", ""HRG"", ""F11R"", ""CCL5"", ""CD55"", ""ITGAV"", ""VNN1"", ""CSF1"", ""CEACAM6"", ""MDK"")"
"4","","Adhesion","GOBP_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION","GO:0022409","Any process that activates or increases the rate or extent of cell adhesion to another cell. [GOC:isa_complete]","0.909","1","0.0145143429459948","-0.215247060502053","-0.777382624676337","121","c(""HLA-E"", ""ADA"", ""FADD"", ""FGA"", ""EPO"", ""NCK2"", ""FOXO3"", ""SART1"", ""IL2RA"", ""GLI2"", ""DHPS"", ""IL18"", ""SLAMF1"", ""IL7R"", ""CD46"", ""CD28"", ""TFRC"", ""CD3E"", ""ZP4"", ""PTPN6"", ""SOX2"", ""SELE"", ""SKAP1"", ""CORO1A"", ""CD5"", ""PRKCQ"", ""SERPINF2"", ""XCL1"", ""RNASE10"", ""CD70"", ""SRC"", ""AIF1"", ""LYN"", ""IL10"", ""SHH"", ""LILRB2"", ""VCAM1"", ""IL12B"", ""CD4"", ""CXCL13"", ""CD80"", ""ZBTB16"", ""LILRB1"", ""KLRK1"", ""CD209"", ""ANXA1"", ""CR1"", ""CCL19"", ""TNFRSF13C"", ""YES1"", ""ZP3"", ""IL4R"", ""CD86"", ""IFNG"", ""IL12RB1"", ""AP3B1"", ""IL2"", ""TNF"", ""TNFSF9"", 
""TNFSF13B"", ""ICOSLG"", ""AGER"", ""GP6"", ""PODXL"", ""LEP"", ""HLA-DRA"", ""IL1B"", ""DPP4"", ""F11R"", ""CCL5"", ""CD55"", ""VNN1"", ""CEACAM6"", ""MDK"", ""CD160"")"
"5","","Adhesion","GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_CELL_CELL_ADHESION","GO:1903039","Any process that activates or increases the frequency, rate or extent of leukocyte cell-cell adhesion. [GO_REF:0000058, GOC:BHF, GOC:rl, GOC:TermGenie, PMID:21106532]","0.915","1","0.0139869590598254","-0.212865942412376","-0.763335916180336","107","c(""HLA-E"", ""ADA"", ""FADD"", ""EPO"", ""NCK2"", ""FOXO3"", ""SART1"", ""IL2RA"", ""GLI2"", ""DHPS"", ""IL18"", ""SLAMF1"", ""IL7R"", ""CD46"", ""CD28"", ""TFRC"", ""CD3E"", ""ZP4"", ""PTPN6"", ""SELE"", ""SKAP1"", ""CORO1A"", ""CD5"", ""PRKCQ"", ""XCL1"", ""CD70"", ""SRC"", ""AIF1"", ""LYN"", ""SHH"", ""LILRB2"", ""VCAM1"", ""IL12B"", ""CD4"", ""CD80"", ""ZBTB16"", ""LILRB1"", ""KLRK1"", ""CD209"", ""ANXA1"", ""CR1"", ""CCL19"", ""TNFRSF13C"", ""YES1"", ""ZP3"", ""IL4R"", ""CD86"", ""IFNG"", ""IL12RB1"", ""AP3B1"", ""IL2"", ""TNF"", ""TNFSF9"", ""TNFSF13B"", ""ICOSLG"", ""AGER"", ""LEP"", ""HLA-DRA"", ""IL1B"", 
""DPP4"", ""CCL5"", ""CD55"", ""VNN1"", ""MDK"", ""CD160"", ""NFAT5"", ""IL4"", ""CD6"")"
"6","","Adhesion","GOBP_REGULATION_OF_CELL_ADHESION","GO:0030155","Any process that modulates the frequency, rate or extent of attachment of a cell to another cell or to the extracellular matrix. [GOC:mah]","0.999000999000999","1","0.0014426950408889","-0.181163241560087","-0.682783964911525","290","c(""HLA-E"", ""SOX9"", ""ADA"", ""C1QBP"", ""ASS1"", ""TGM2"", ""RAC3"", ""CASP3"", ""SWAP70"", ""FADD"", ""FGA"", ""CYTH3"", ""ACTN4"", ""EPO"", ""EPHA2"", ""FUT1"", ""PPM1F"", ""NCK2"", ""MELTF"", ""SLK"", ""FOXO3"", ""SART1"", ""CDH1"", ""MINK1"", ""PDE5A"", ""IL2RA"", ""SFTPD"", ""ARG1"", ""GLI2"", ""DHPS"", ""IL18"", ""BAG4"", ""ARG2"", ""RRAS"", ""SLAMF1"", ""PRDX2"", ""IL7R"", ""CD46"", ""EPHA1"", ""CD28"", ""IDO1"", ""APOA1"", ""ABL1"", ""ATXN3"", ""PPP1R12A"", ""GBP1"", ""TFRC"", ""CRKL"", ""CXCL12"", ""CD3E"", ""ZP4"", ""PRKAR1A"", ""CLASP1"", ""PTPN6"", ""LIF"", ""TARM1"", ""SOX2"", ""FCGR2B"", ""PAG1"", 
""APBB1IP"", ""STX4"", ""SELE"", ""TNFAIP8L2"", ""PRKG1"", ""PHLDB2"", ""CTLA4"", ""SKAP1"", ""LAG3"", ""MAD1L1"", ""FGL1"", ""CORO1A"", ""CD5"", ""CRTAM"", ""PRKCQ"", ""DAB2"", ""SEMA4D"", ""SERPINF2"", ""STX3"", ""PRKD2"", ""TGFB1"", ""AGR2"", ""LGALS3"", ""XCL1"", ""RNASE10"", ""CD70"", ""PLXNA4"", ""SRC"", ""AIF1"", ""LYN"", ""IL10"", ""BMP4"", ""FXYD5"", ""SHH"", ""LILRB2"", ""VCAM1"", ""SCRIB"", ""ADAM9"", ""STK4"", ""P4HB"", ""CCN1"", ""IL12B"", ""CD4"", ""CXCL13"", ""AZU1"", ""EPCAM"", ""CD80"", ""ZBTB16"", ""LILRB1"", ""NEDD9"", ""TSC1"", ""KLRK1"", ""EPB41L5"", ""EGFLAM"", ""CD209"", ""ANXA1"", ""BCL2"", 
""VAV3"", ""CR1"", ""CCL19"", ""TNFRSF13C"", ""PLG"", ""YES1"", ""SMAD3"", ""ZP3"", ""BST1"", ""IL4R"", ""DMP1"", ""ITGA2"", ""CD86"", ""IFNG"", ""ERBB2"", ""IL12RB1"", ""SERPINE2"", ""AP3B1"", ""IL2"", ""TNF"", ""TNFSF9"", ""TNFSF13B"", ""RASA1"", ""ST6GAL1"", ""CSPG5"", ""RGCC"", ""IL20RB"", ""ICOSLG"", ""AGER"", ""GP6"", ""ACVRL1"", ""SDC4"", ""PODXL"", ""DLL1"", ""ERBB3"", ""PLXNB3"", ""ADAM15"", ""LEP"", ""HLA-DRA"", ""TEK"", ""IL1B"", ""SFRP1"", ""DUSP3"", ""DPP4"", ""HRG"", ""F11R"", ""CCL5"", ""CD55"", ""CEBPB"", ""ITGAV"", ""VNN1"", ""CSF1"", ""CEACAM6"", ""PLAU"", ""MDK"", ""JAM3"")"
"7","","Adhesion","GOBP_REGULATION_OF_CELL_CELL_ADHESION","GO:0022407","Any process that modulates the frequency, rate or extent of attachment of a cell to another cell. [GOC:isa_complete]","0.916083916083916","1","0.0138082722594766","-0.218764796697964","-0.807179221284329","186","c(""HLA-E"", ""ADA"", ""ASS1"", ""CASP3"", ""SWAP70"", ""FADD"", ""FGA"", ""EPO"", ""PPM1F"", ""NCK2"", ""FOXO3"", ""SART1"", ""CDH1"", ""MINK1"", ""PDE5A"", ""IL2RA"", ""SFTPD"", ""ARG1"", ""GLI2"", ""DHPS"", ""IL18"", ""ARG2"", ""SLAMF1"", ""PRDX2"", ""IL7R"", ""CD46"", ""CD28"", ""IDO1"", ""APOA1"", ""ABL1"", ""TFRC"", ""CXCL12"", ""CD3E"", ""ZP4"", ""PRKAR1A"", ""PTPN6"", ""TARM1"", ""SOX2"", ""FCGR2B"", ""PAG1"", ""SELE"", ""TNFAIP8L2"", ""PRKG1"", ""CTLA4"", ""SKAP1"", ""LAG3"", ""MAD1L1"", ""FGL1"", ""CORO1A"", ""CD5"", ""CRTAM"", ""PRKCQ"", ""SERPINF2"", ""TGFB1"", ""LGALS3"", ""XCL1"", ""RNASE10"", 
""CD70"", ""SRC"", ""AIF1"", ""LYN"", ""IL10"", ""BMP4"", ""FXYD5"", ""SHH"", ""LILRB2"", ""VCAM1"", ""SCRIB"", ""IL12B"", ""CD4"", ""CXCL13"", ""EPCAM"", ""CD80"", ""ZBTB16"", ""LILRB1"", ""KLRK1"", ""EPB41L5"", ""CD209"", ""ANXA1"", ""CR1"", ""CCL19"", ""TNFRSF13C"", ""PLG"", ""YES1"", ""ZP3"", ""IL4R"", ""CD86"", ""IFNG"", ""ERBB2"", ""IL12RB1"", ""SERPINE2"", ""AP3B1"", ""IL2"", ""TNF"", ""TNFSF9"", ""TNFSF13B"", ""RGCC"", ""IL20RB"", ""ICOSLG"", ""AGER"", ""GP6"", ""SDC4"", ""PODXL"")"
"8","","Adhesion","GOCC_ANCHORING_JUNCTION","GO:0070161","A cell junction that mechanically attaches a cell (and its cytoskeleton) to neighboring cells or to the extracellular matrix. [ISBN:0815332181]","0.415584415584416","0.997339772849977","0.0541200569620232","-0.27488564100966","-1.02554008275072","234","c(""PTPRM"", ""LAP3"", ""HEG1"", ""AMOT"", ""EPPK1"", ""PTK7"", ""TGM2"", ""CDH3"", ""TJP3"", ""ACTN2"", ""SCARF2"", ""CYTH3"", ""SV2A"", ""PROCR"", ""ACTN4"", ""LPP"", ""RAB10"", ""EPHA2"", ""ANK2"", ""DMD"", ""BAIAP2"", ""PIKFYVE"", ""AKAP12"", ""PPP1CC"", ""CDH1"", ""WASF1"", ""SPTBN2"", ""KAZN"", ""PCBP2"", ""VIM"", ""EZR"", ""SORBS1"", ""KRT18"", ""PDZD2"", ""PXN"", ""CD2AP"", ""MAP2K1"", ""AFAP1"", ""PDIA3"", ""RRAS"", ""ERBIN"", ""MTDH"", ""DSG2"", ""CD46"", ""CDC42BPB"", ""KIRREL2"", ""SNAP23"", ""PKD2"", ""NUMB"", ""PPP1R12A"", ""EHD3"", ""CD3E"", ""SIRT2"", ""SDCCAG8"", ""PDLIM5"", ""CLASP1"", ""PTPN6"", 
""PPL"", ""MPRIP"", ""GIT1"", ""CGN"", ""APBB1IP"", ""PAK4"", ""PALLD"", ""PPP1R9B"", ""PRKAR2A"", ""PARK7"", ""NDRG1"", ""MICALL2"", ""PHLDB2"", ""SKAP1"", ""ITGB6"", ""STX16"", ""TJAP1"", ""ARF6"", ""CORO1A"", ""PTPRK"", ""SLC9A3R2"", ""SH3BP1"", ""LAT"", ""DAB2"", ""HNRNPK"", ""RPS10"", ""STX3"", ""ENAH"", ""AIF1L"", ""MYH9"", ""AHNAK"", ""C1QTNF5"", ""AMOTL2"", ""NPM1"", ""BSG"", ""VASP"", ""HYOU1"", ""DBN1"", ""HSP90B1"", ""ITGB7"", ""CAT"", ""SRC"", ""VAMP5"")"
"9","","Adhesion","GOCC_CELL_SUBSTRATE_JUNCTION","GO:0030055","A cell junction that forms a connection between a cell and the extracellular matrix. [GOC:aruk, GOC:bc, GOC:hb, GOC:mah, PMID:10419689, PMID:1643657, PMID:16805308, PMID:26923917, PMID:8314002]","0.484515484515485","1","0.0470699590082662","-0.277686605970281","-1.00568833935221","129","c(""LAP3"", ""EPPK1"", ""PTK7"", ""TGM2"", ""ACTN2"", ""SCARF2"", ""PROCR"", ""ACTN4"", ""LPP"", ""RAB10"", ""EPHA2"", ""DMD"", ""AKAP12"", ""PPP1CC"", ""WASF1"", ""PCBP2"", ""VIM"", ""EZR"", ""SORBS1"", ""PXN"", ""MAP2K1"", ""AFAP1"", ""PDIA3"", ""RRAS"", ""ERBIN"", ""CD46"", ""SNAP23"", ""NUMB"", ""PPP1R12A"", ""EHD3"", ""CLASP1"", ""MPRIP"", ""GIT1"", ""APBB1IP"", ""PAK4"", ""PALLD"", ""PRKAR2A"", ""PHLDB2"", ""ITGB6"", ""STX16"", ""ARF6"", ""SLC9A3R2"", ""DAB2"", ""HNRNPK"", ""RPS10"", ""ENAH"", ""AIF1L"", ""MYH9"", ""AHNAK"", ""NPM1"", ""BSG"", ""VASP"", ""HYOU1"", ""HSP90B1"", ""ITGB7"", ""CAT"", ""SRC"", 
""NEXN"", ""ADAM9"", ""P4HB"", ""ADD1"", ""HSPA1A"", ""IL16"", ""LRP1"", ""NEDD9"", ""REXO2"", ""ADGRE5"", ""EPB41L5"", ""NECTIN2"", ""ANXA1"", ""FLRT2"", ""ITGB1"", ""ENG"", ""YES1"", ""ITGA2"", ""FLT1"", ""CTNNA1"", ""PVR"", ""ICAM1"", ""PDGFRB"", ""MME"", ""PDLIM7"", ""HSPB1"")"
"10","","Adhesion","GOCC_CELL_SURFACE","GO:0009986","The external part of the cell wall and/or plasma membrane. [GOC:jl, GOC:mtg_sensu, GOC:sm]","1","1","0","-0.105534535021121","-0.402252285787624","412","c(""HLA-E"", ""ENO2"", ""MIF"", ""HEG1"", ""ADA"", ""AMOT"", ""C1QBP"", ""GRIN2B"", ""FGA"", ""SLC1A4"", ""APOA4"", ""PROCR"", ""EPO"", ""ADAMTS15"", ""EPHA2"", ""CLEC4C"", ""DMD"", ""ADGRE1"", ""MELTF"", ""ACE2"", ""FZD10"", ""FCRL1"", ""IGSF3"", ""ENOX2"", ""PRND"", ""OTOA"", ""IL2RA"", ""DCBLD2"", ""FCRL6"", ""PDIA3"", ""SLAMF1"", ""DSG2"", ""CLEC6A"", ""IL7R"", ""CD46"", ""CD200R1"", ""CD28"", ""TLR4"", ""HSPA2"", ""BMP10"", ""TFRC"", ""ARSB"", ""IL1R1"", ""CXCL12"", ""CD3E"", ""IL5RA"", ""BST2"", ""CD3D"", ""LRPAP1"", ""INSR"", ""FCGR2B"", ""TGFA"", ""STX4"", ""SELE"", ""GSR"", ""CD34"", ""CD5L"", ""TREML2"", 
""ENPEP"", ""CTLA4"", ""ITGB6"", ""LAG3"", ""STAB2"", ""CD5"", ""PTPRK"", ""CD1C"", ""CSF2RB"", ""ULBP2"", ""SERPINF2"", ""LY9"", ""CD8A"", ""TGFB1"", ""ANPEP"", ""CD93"", ""ATP5IF1"", ""LGALS3"", ""CD79B"", ""NLGN1"", ""FCER2"", ""ITGB7"", ""AREG"", ""VAMP5"", ""MET"", ""FGFBP1"", ""MBL2"", ""NT5E"", ""ASGR2"", ""SLAMF8"", ""HMMR"", ""PDCD1"", ""SHH"", ""SLAMF7"", ""LILRB2"", ""FOLH1"", ""VCAM1"", ""ERP29"", ""ADAM9"", ""P4HB"", ""CLEC4D"", ""IL12B"", ""VASN"", ""CD4"", ""TLR3"", ""PDGFRA"", ""ERMAP"", ""EPCAM"", ""TGFBR3"", ""LRP2"", ""CD80"", ""GP1BA"", ""LILRB1"", ""LAMP3"", ""KLRK1"", ""CDH17"", ""IL2RB"", 
""TLR2"", ""CDH5"", ""HBEGF"", ""LILRA5"", ""LEPR"", ""ERP44"", ""NECTIN2"", ""NEO1"", ""B4GALT1"", ""RTBDN"", ""CLEC4M"", ""CD209"", ""TNFRSF10B"", ""CD48"", ""ANXA1"", ""HJV"", ""F2"", ""FCRL2"", ""IL17A"", ""AOC3"", ""CR1"", ""TNFRSF9"", ""SDC1"", ""CD22"", ""ITGB1"", ""ENG"", ""TNFRSF13C"", ""PLG"", ""KLRD1"", ""WIF1"", ""SCARB1"", ""GHR"", ""IL4R"", ""ITGA2"", ""MFGE8"", ""TSPAN8"", ""PVR"", ""ICAM1"", ""PDGFRB"", ""CD86"", ""MME"", ""CD3G"", ""FCN1"", ""IL12RB1"", ""SERPINE2"", ""THBD"", ""TNF"", ""TNFRSF1A"", ""SCARA5"", ""CSPG5"", ""ANXA2"", ""FURIN"", ""ICOSLG"", ""AMBP"", ""ROR1"", ""CD40"", ""PDIA4"", 
""ANXA4"", ""AGER"", ""GP2"", ""GP6"", ""ACVRL1"", ""SDC4"", ""CLEC4A"", ""HAVCR1"", ""ANXA5"", ""IL21R"", ""DCC"", ""PLXNB3"", ""ADAM15"", ""ATP6AP2"", ""ADGRV1"", ""HLA-DRA"", ""MSR1"", ""ROBO2"", ""TEK"", ""SFRP1"", ""TGFBR1"", ""ENTPD6"", ""IL13RA1"", ""NOTCH3"", ""DPP4"", ""HRG"", ""CLEC10A"", ""LRFN2"", ""CD55"", ""ITGAM"", ""GPC1"", ""ITGAV"", ""PAM"", ""CD63"", ""CEACAM6"", ""PLAU"", ""LBP"", ""FGFR2"", ""APOH"", ""FLT3LG"", ""ADGRG2"", ""TNR"", ""IGLC2"", ""FAP"", ""CD6"", ""CEACAM1"", ""FOLR3"", ""GPC5"", ""KIT"", ""OSMR"", ""GFRA2"", ""BGN"", ""CX3CL1"", ""ASGR1"", ""NOTCH1"", ""PKD1"", ""ITGA6"", 
""ITGA5"", ""ISLR2"", ""IQGAP2"", ""BCAM"", ""CD244"", ""ADAM8"", ""F3"", ""ACE"", ""CSF2RA"", ""LY75"", ""CD248"", ""LAYN"", ""ADAMTS13"", ""MSLNL"", ""CXCL10"", ""CLEC4G"", ""PTPRC"", ""CD163"", ""F10"", ""SRPX"", ""CD200"", ""ALPP"", ""PLAT"", ""RTN4R"", ""TNFRSF4"")"
