"","show","Aggregated","pathway","gs_number","gs_description","pval","padj","log2err","ES","NES","size","leadingEdge"
"1","","Adhesion","GOBP_CELL_CELL_ADHESION","GO:0098609","The attachment of one cell to another cell via adhesion molecules. [GOC:dos]","0.757510729613734","0.969768995004421","0.0618406035753285","0.171272372625423","0.918583223238646","366","c(""LRFN5"", ""HMGB1"", ""NLGN1"", ""TJP2"", ""CYP1B1"", ""STAT5B"", ""CBFB"", ""CARD11"", ""PTPN11"", ""ITGA5"", ""SDK1"", ""ADGRL3"", ""PCDHGA10"", ""FAT3"", ""COL14A1"", ""PARVA"", ""ZDHHC21"", ""PKP4"", ""CNTN4"", ""RIPOR2"", ""OBSCN"", ""CNTN1"", ""TNR"", ""UNC5D"", ""TLN2"", ""PPIA"", ""COL19A1"", ""GRID2"", ""PLEKHA7"", ""NFAT5"", ""NEXMIF"", ""CD9"", ""CLDN12"", ""CDH8"", ""PTPRT"", ""NCK1"", ""CDH20"", ""GPC6"", ""DLG2"", ""CDH7"", ""NLGN2"", ""NLGN4Y"", ""PIK3CA"", ""PIEZO1"", ""BCL6"", ""LAMB1"", ""WNK1"", ""BAIAP2L1"", ""NTNG1"", ""SPINT2"", ""BMP5"", ""FAT4"", ""TENM2"", ""ABAT"", ""PTPRG"", 
""OBSL1"", ""EZR"", ""NPNT"", ""VCAM1"", ""ACVR1"", ""PCDHGA6"", ""JAK2"", ""SIRPA"", ""ABL1"", ""EGFR"", ""TENM3"", ""PIK3CB"", ""NLGN4X"", ""GLI3"", ""ELMO2"", ""HAVCR2"", ""FOXO3"", ""FNDC3A"")"
"2","","Adhesion","GOBP_LEUKOCYTE_CELL_CELL_ADHESION","GO:0007159","The attachment of a leukocyte to another cell via adhesion molecules. [GOC:go_curators]","0.97741273100616","1","0.047925896705813","0.15518853290555","0.72402390135053","115","c(""HMGB1"", ""STAT5B"", ""CBFB"", ""CARD11"", ""PTPN11"", ""ITGA5"", ""ZDHHC21"", ""RIPOR2"", ""NFAT5"", ""NCK1"", ""PIK3CA"", ""BCL6"", ""WNK1"", ""EZR"", ""VCAM1"", ""JAK2"", ""SIRPA"", ""GLI3"", ""HAVCR2"", ""FOXO3"", ""SKAP1"", ""AMBRA1"", ""AKT1"", ""NFKBIZ"", ""MALT1"", ""PDE5A"", ""TYK2"", ""FLOT2"", ""GOLPH3"", ""CEBPB"", ""NR4A3"", ""NT5E"")"
"3","","Adhesion","GOBP_POSITIVE_REGULATION_OF_CELL_ADHESION","GO:0045785","Any process that activates or increases the frequency, rate or extent of cell adhesion. [GOC:go_curators]","0.331439393939394","0.813097055829614","0.0992333343771191","-0.214774590688689","-1.04917661345149","180","c(""GLI2"", ""PRKCA"", ""FLNA"", ""IL15"", ""WNT5A"", ""CD36"", ""WNT4"", ""EGFLAM"", ""TPM1"", ""CDC42"", ""ANXA1"", ""CARMIL1"", ""IGFBP2"", ""ETS1"", ""TSC1"", ""DISC1"", ""PTPRU"", ""TGFB2"", ""EDIL3"", ""ITGA3"", ""RREB1"", ""ILK"", ""SMAD3"", ""YES1"", ""ZMIZ1"", ""ATM"", ""NDNF"", ""JAK1"", ""ABI3BP"", ""NRP1"", ""NEDD9"", ""ECM2"", ""MEGF10"", ""TRIOBP"", ""TRAF6"")"
"4","","Adhesion","GOBP_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION","GO:0022409","Any process that activates or increases the rate or extent of cell adhesion to another cell. [GOC:isa_complete]","0.88768898488121","0.991061974726585","0.0546808488785442","0.176646121933365","0.781164027508582","90","c(""HMGB1"", ""STAT5B"", ""CBFB"", ""CARD11"", ""PTPN11"", ""NFAT5"", ""NCK1"", ""PIK3CA"", ""PIEZO1"", ""BCL6"", ""VCAM1"", ""JAK2"", ""SIRPA"", ""GLI3"", ""HAVCR2"", ""FOXO3"", ""SKAP1"", ""AMBRA1"", ""AKT1"", ""KIFAP3"", ""NFKBIZ"", ""TJP1"", ""KIF26B"", ""MALT1"")"
"5","","Adhesion","GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_CELL_CELL_ADHESION","GO:1903039","Any process that activates or increases the frequency, rate or extent of leukocyte cell-cell adhesion. [GO_REF:0000058, GOC:BHF, GOC:rl, GOC:TermGenie, PMID:21106532]","0.585470085470085","0.922717960068558","0.0743625384422526","0.222904476576599","0.934896224727374","70","c(""HMGB1"", ""STAT5B"", ""CBFB"", ""CARD11"", ""PTPN11"", ""NFAT5"", ""NCK1"", ""PIK3CA"", ""BCL6"", ""VCAM1"", ""JAK2"", ""SIRPA"", ""GLI3"", ""HAVCR2"", ""FOXO3"", ""SKAP1"", ""AMBRA1"", ""AKT1"", ""NFKBIZ"", ""MALT1"", ""TYK2"", ""FLOT2"", ""NR4A3"", ""ITPKB"", ""B2M"", ""NCK2"", ""SLC7A1"", ""ST3GAL4"", ""DOCK8"", ""HSPH1"", ""TNFSF13B"", ""DNAJA3"", ""PRKCQ"")"
"6","","Adhesion","GOBP_REGULATION_OF_CELL_ADHESION","GO:0030155","Any process that modulates the frequency, rate or extent of attachment of a cell to another cell or to the extracellular matrix. [GOC:mah]","0.345631067961165","0.824068358922923","0.0982123351217438","-0.198343807853578","-1.03565102995052","320","c(""PAG1"", ""GLI2"", ""PRKCA"", ""FLNA"", ""AKNA"", ""IL15"", ""PLXNA2"", ""WNT5A"", ""CD36"", ""COL1A1"", ""WNT4"", ""CORO2B"", ""EGFLAM"", ""TPM1"", ""CDC42"", ""ANXA1"", ""CARMIL1"", ""JAG1"", ""ACTG1"", ""ASS1"", ""IGFBP2"", ""ETS1"", ""TSC1"", ""SEMA4D"", ""C1QTNF1"", ""DISC1"", ""PTPRU"", ""TGFB2"", ""EDIL3"", ""ITGA3"", ""FAM107A"", ""LGALS3"", ""ATXN3"", ""RREB1"", ""DLC1"", ""ILK"", ""SMAD3"", ""SPOCK1"", ""YES1"", ""DLG5"", ""ZMIZ1"", ""LMO7"", ""LAMA4"", ""ATM"", ""NDNF"", ""JAK1"", ""ABI3BP"", ""NRP1"", ""NEDD9"", ""APOD"", ""ARHGAP6"", ""ECM2"", ""MEGF10"", ""TRIOBP"", ""TRAF6"", ""UBASH3B"", 
""LEF1"", ""PTPRA"", ""PDE3B"", ""ST6GAL1"", ""MAP3K8"", ""TBCD"", ""PELI1"", ""FYN"", ""CLASP2"", ""MINK1"", ""VCL"")"
"7","","Adhesion","GOBP_REGULATION_OF_CELL_CELL_ADHESION","GO:0022407","Any process that modulates the frequency, rate or extent of attachment of a cell to another cell. [GOC:isa_complete]","0.859287054409006","0.988069466493481","0.0496901392724606","-0.172613464810296","-0.827211529470907","158","c(""PAG1"", ""GLI2"", ""PRKCA"", ""AKNA"", ""IL15"", ""WNT5A"", ""WNT4"", ""ANXA1"", ""JAG1"", ""ASS1"", ""IGFBP2"", ""ETS1"", ""C1QTNF1"", ""PTPRU"")"
"8","","Adhesion","GOCC_ANCHORING_JUNCTION","GO:0070161","A cell junction that mechanically attaches a cell (and its cytoskeleton) to neighboring cells or to the extracellular matrix. [ISBN:0815332181]","0.00484736480152731","0.240328182699038","0.407017918923954","-0.248846036534814","-1.35051072740986","487","c(""AKAP12"", ""SH3KBP1"", ""USP33"", ""PDLIM7"", ""SVIL"", ""FLNA"", ""EIF4G2"", ""MSN"", ""LIMA1"", ""SORBS3"", ""FHL2"", ""HSPG2"", ""CGNL1"", ""NFASC"", ""CORO2B"", ""MYH9"", ""TNS1"", ""AMOTL2"", ""REXO2"", ""ACTB"", ""TPM4"", ""CDC42"", ""RPL3"", ""NDRG1"", ""CAPN2"", ""CD99L2"", ""ADD1"", ""IQGAP1"", ""ANXA1"", ""AFAP1"", ""JAG1"", ""PLEC"", ""CYFIP1"", ""ACTG1"", ""MXRA8"", ""PATJ"", ""CDH11"", ""MICALL2"", ""RHOB"", ""CLDN11"", ""PTPRU"", ""PPFIBP1"", ""VEZT"", ""ADAM17"", ""ITGA3"", ""PAK2"", ""SDCCAG8"", ""FAM107A"", ""MDC1"", ""FAT1"", ""FBF1"", ""PKN2"", ""DLC1"", ""PRKCI"", ""DDX58"", ""JCAD"", 
""SYNPO"", ""KIT"", ""SENP1"", ""ILK"", ""PLXDC1"", ""PDCD6IP"", ""AHNAK"", ""MTF2"", ""RPLP1"", ""YES1"", ""FLNB"", ""TNS2"", ""FRMD4A"", ""NHS"", ""ANK2"", ""HACD3"", ""ITGA8"", ""LMO7"", ""PARD6G"", ""CTNNA3"", ""VAPA"", ""PDIA3"", ""RALA"", ""DMD"", ""DST"", ""ARPC1B"", ""TLN1"", ""CTNND1"", ""RAB21"", ""GJA1"", ""TSPAN4"", ""DSC3"", ""WTIP"", ""GNA12"", ""DDR2"", ""DOCK7"", ""ATP6V0C"", ""JAK1"", ""MPZL1"", ""ENG"", ""TRPC6"", ""NRP1"", ""TSPAN9"", ""NEDD9"", ""FGF13"", ""RPL38"", ""TRIOBP"", ""RAPGEF2"", ""FBLIM1"", ""PDGFRB"", ""PTPRA"", ""CAT"", ""ZFYVE21"", ""GDI2"", ""CNN3"", ""CDH18"", ""CPNE3"", 
""PDLIM1"", ""TGFBR1"", ""TBCD"", ""KIRREL1"", ""LRP1"", ""CLASP2"", ""HMCN1"", ""MAPRE2"", ""VCL"", ""RPL30"", ""LPP"", ""PAK1"")"
"9","","Adhesion","GOCC_CELL_SUBSTRATE_JUNCTION","GO:0030055","A cell junction that forms a connection between a cell and the extracellular matrix. [GOC:aruk, GOC:bc, GOC:hb, GOC:mah, PMID:10419689, PMID:1643657, PMID:16805308, PMID:26923917, PMID:8314002]","2.4871150635234e-06","0.0118063352065456","0.627256739718528","-0.332458216228911","-1.72640916319549","299","c(""AKAP12"", ""SH3KBP1"", ""USP33"", ""PDLIM7"", ""SVIL"", ""FLNA"", ""MSN"", ""LIMA1"", ""SORBS3"", ""FHL2"", ""HSPG2"", ""NFASC"", ""CORO2B"", ""MYH9"", ""TNS1"", ""REXO2"", ""ACTB"", ""TPM4"", ""CDC42"", ""RPL3"", ""CAPN2"", ""CD99L2"", ""ADD1"", ""IQGAP1"", ""ANXA1"", ""AFAP1"", ""PLEC"", ""CYFIP1"", ""ACTG1"", ""RHOB"", ""PPFIBP1"", ""ADAM17"", ""ITGA3"", ""FAM107A"", ""MDC1"", ""FAT1"", ""DLC1"", ""SENP1"", ""ILK"", ""PDCD6IP"", ""AHNAK"", ""MTF2"", ""RPLP1"", ""YES1"", ""FLNB"", ""TNS2"", ""NHS"", ""HACD3"", ""ITGA8"", ""LMO7"", ""PDIA3"", ""RALA"", ""DMD"", ""DST"", ""ARPC1B"", ""TLN1"", ""RAB21"", 
""GJA1"", ""TSPAN4"", ""GNA12"", ""DDR2"", ""DOCK7"", ""ATP6V0C"", ""JAK1"", ""MPZL1"", ""ENG"", ""NRP1"", ""TSPAN9"", ""NEDD9"", ""RPL38"", ""TRIOBP"", ""FBLIM1"", ""PDGFRB"", ""PTPRA"", ""CAT"", ""ZFYVE21"", ""GDI2"", ""CNN3"", ""CPNE3"", ""PDLIM1"", ""LRP1"", ""CLASP2"", ""HMCN1"", ""MAPRE2"", ""VCL"", ""RPL30"", ""LPP"", ""PAK1"", ""SRC"", ""PIP5K1C"")"
"10","","Adhesion","GOCC_CELL_SURFACE","GO:0009986","The external part of the cell wall and/or plasma membrane. [GOC:jl, GOC:mtg_sensu, GOC:sm]","0.00596995402103559","0.254312094893437","0.407017918923954","-0.272839688842412","-1.40031749088708","281","c(""NEO1"", ""SPARC"", ""SORT1"", ""IL15"", ""ABCA1"", ""AXL"", ""WNT5A"", ""DIP2A"", ""ADAMTS15"", ""MSN"", ""ADAMTS9"", ""CD36"", ""WNT4"", ""FGFR2"", ""TNS1"", ""ITGA9"", ""ENPP1"", ""SCARB1"", ""CAPN2"", ""CD99L2"", ""ANXA1"", ""ADGRA2"", ""HLA-B"", ""MYO18A"", ""PSEN1"", ""FAS"", ""MXRA8"", ""NPTN"", ""SLC6A1"", ""ECE1"", ""ENPEP"", ""CD302"", ""ADAM17"", ""ITGA3"", ""PLA2R1"", ""SRPX2"", ""LRP4"", ""VAMP4"", ""LGALS3"", ""LRPAP1"", ""ACKR3"", ""CLEC2D"", ""KIT"", ""ANXA4"", ""LRP2"", ""KCNH5"", ""ACVR1B"", ""ANTXR1"", ""GPC4"", ""PDGFRA"", ""ITGA8"", ""CLEC2B"", ""LMO7"", ""PDIA3"", ""RALA"", ""ENOX2"", 
""DMD"", ""TSPAN14"", ""TLN1"")"
