Aggregated,pathway,gs_number.x,gs_description.x,gs_number.y,gs_description.y,pval,padj,log2err,ES,NES,size,leadingEdge
Adhesion,GOBP_CELL_CELL_ADHESION,GO:0098609,The attachment of one cell to another cell via adhesion molecules. [GOC:dos],GO:0098609,The attachment of one cell to another cell via adhesion molecules. [GOC:dos],0.94005994,1,0.011520257,0.26091991,0.837208909,202,"c(""MMP24"", ""LRFN4"", ""PTAFR"", ""CD74"", ""ATP2C1"", ""GNAS"", ""ANXA2"", ""CDH3"", ""STAT5B"", ""GOLPH3"", ""ROCK1"", ""PODXL2"", ""CDHR1"", ""SFTPD"", ""PDGFRA"", ""ST3GAL4"", ""PLEKHA7"", ""PELI1"", ""NCKAP1L"", ""NCK2"", ""ITGA9"", ""CDH1"", ""ZBTB7B"", ""DLG1"", ""CRB1"", ""LAMB1"", ""YTHDF2"", ""SRPX2"", ""CDH15"", ""CDH17"", ""THBS4"", ""SWAP70"", ""SRC"", ""SERPINB8"", ""ALOX5"", ""CD2AP"", ""PIP5K1C"", ""SMAD7"", ""ITGB3"", ""PCDHA13"", ""PDE5A"", ""WNT4"", ""ALCAM"", ""CDH20"", ""CNTN2"", ""ACTB"", ""DENND6A"", ""PTPRU"", ""APOA1"", ""CLDN16"", ""RC3H1"", ""RDX"", ""PCDHAC1"", ""THY1"", ""PIK3CG"", 
""TRPV4"", ""PTPN2"", ""AQP4"", ""IL18"", ""SOX4"", ""LAPTM5"", ""FAT2"", ""ZBTB16"", ""TESPA1"", ""LRFN5"", ""DUSP10"", ""SLC7A11"", ""ADAM19"", ""CDH23"", ""PCDHAC2"", ""CDHR3"", ""UBASH3B"", ""CEACAM6"", ""IL7R"", ""SLC7A1"", ""IL27RA"", ""METAP1"", ""OBSCN"", ""GCNT1"", ""STXBP3"", ""CEACAM1"", ""NCK1"", ""HLA-DPA1"", ""HAVCR2"", ""CLECL1"", ""NR4A3"", ""PLA2G2F"", ""TWSG1"", ""PLEK"", ""EPCAM"", ""DHPS"", ""GATA3"", ""RELA"", ""CLDN11"", ""CEL"", ""CCL28"", ""FBLIM1"", ""COL14A1"", ""CRNN"", ""PCDH19"", ""ZAN"", ""EFNB3"", ""MAD1L1"", ""CNTN1"", ""EGFR"", ""SPINT2"", ""CDH9"", ""CX3CR1"", ""SKAP1"", 
""TNIP1"", ""JAK2"", ""MSN"", ""STXBP6"", ""CNN3"", ""MYH9"", ""CTNNB1"", ""PCDH17"", ""CD3E"", ""PLG"", ""STK10"", ""BMP6"", ""CD93"", ""TNFRSF21"", ""IDO1"", ""ANXA1"", ""NINJ1"")"
Adhesion,GOBP_LEUKOCYTE_CELL_CELL_ADHESION,GO:0007159,The attachment of a leukocyte to another cell via adhesion molecules. [GOC:go_curators],GO:0007159,The attachment of a leukocyte to another cell via adhesion molecules. [GOC:go_curators],0.955044955,1,0.009898214,0.252283786,0.771565263,88,"c(""PTAFR"", ""CD74"", ""STAT5B"", ""GOLPH3"", ""ROCK1"", ""PODXL2"", ""SFTPD"", ""ST3GAL4"", ""PELI1"", ""NCKAP1L"", ""NCK2"", ""ZBTB7B"", ""DLG1"", ""SRC"", ""ALOX5"", ""SMAD7"", ""PDE5A"", ""RC3H1"", ""THY1"", ""PTPN2"", ""IL18"", ""SOX4"", ""LAPTM5"", ""ZBTB16"", ""TESPA1"", ""DUSP10"", ""IL7R"", ""SLC7A1"", ""IL27RA"", ""GCNT1"", ""CEACAM1"", ""NCK1"", ""HLA-DPA1"", ""HAVCR2"", ""CLECL1"", ""NR4A3"", ""PLA2G2F"", ""TWSG1"", ""DHPS"", ""GATA3"", ""RELA"", ""CCL28"", ""EFNB3"", ""MAD1L1"", ""CX3CR1"", ""SKAP1"", ""TNIP1"", ""JAK2"", ""MSN"", ""CD3E"", ""STK10"", ""TNFRSF21"", ""IDO1"", ""ANXA1"")"
Adhesion,GOBP_POSITIVE_REGULATION_OF_CELL_ADHESION,GO:0045785,"Any process that activates or increases the frequency, rate or extent of cell adhesion. [GOC:go_curators]",GO:0045785,"Any process that activates or increases the frequency, rate or extent of cell adhesion. [GOC:go_curators]",0.688311688,0.972705416,0.030703737,0.298271898,0.923186948,101,"c(""TEK"", ""PTAFR"", ""CD74"", ""STAT5B"", ""ROCK1"", ""ST3GAL4"", ""TRIOBP"", ""NCKAP1L"", ""NCK2"", ""MIP"", ""CD36"", ""TMEM102"", ""ZBTB7B"", ""DAG1"", ""CHRD"", ""NDNF"", ""DAB2"", ""VAV3"", ""SRC"", ""CIB1"", ""ALOX5"", ""SMAD7"", ""WNT4"", ""ABI3BP"", ""MYOC"", ""DENND6A"", ""PTPRU"", ""APOA1"", ""THY1"", ""RSU1"", ""IL18"", ""TESK1"", ""SOX4"", ""STK4"", ""PPP3CA"", ""CCDC80"", ""FLCN"", ""ZBTB16"", ""TESPA1"", ""DUSP10"", ""ADAM19"", ""CEACAM6"", ""IL7R"", ""SLC7A1"", ""IL27RA"", ""CARMIL1"", ""NCK1"", ""HLA-DPA1"", ""HAVCR2"", ""CLECL1"", ""NR4A3"", ""EGFL6"", ""DHPS"", ""GATA3"", ""RELA"")"
Adhesion,GOBP_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION,GO:0022409,Any process that activates or increases the rate or extent of cell adhesion to another cell. [GOC:isa_complete],GO:0022409,Any process that activates or increases the rate or extent of cell adhesion to another cell. [GOC:isa_complete],0.977022977,1,0.006996349,0.231854466,0.696984639,68,"c(""PTAFR"", ""CD74"", ""STAT5B"", ""ST3GAL4"", ""NCKAP1L"", ""NCK2"", ""ZBTB7B"", ""SRC"", ""ALOX5"", ""SMAD7"", ""DENND6A"", ""PTPRU"", ""THY1"", ""IL18"", ""SOX4"", ""ZBTB16"", ""TESPA1"", ""DUSP10"", ""ADAM19"", ""CEACAM6"", ""IL7R"", ""SLC7A1"", ""IL27RA"", ""NCK1"", ""HLA-DPA1"", ""HAVCR2"", ""CLECL1"", ""NR4A3"", ""DHPS"", ""GATA3"", ""RELA"")"
Adhesion,GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_CELL_CELL_ADHESION,GO:1903039,"Any process that activates or increases the frequency, rate or extent of leukocyte cell-cell adhesion. [GO_REF:0000058, GOC:BHF, GOC:rl, GOC:TermGenie, PMID:21106532]",GO:1903039,"Any process that activates or increases the frequency, rate or extent of leukocyte cell-cell adhesion. [GO_REF:0000058, GOC:BHF, GOC:rl, GOC:TermGenie, PMID:21106532]",0.982017982,1,0.006173563,0.215054807,0.639639335,59,"c(""PTAFR"", ""CD74"", ""STAT5B"", ""ST3GAL4"", ""NCKAP1L"", ""NCK2"", ""ZBTB7B"", ""SRC"", ""ALOX5"", ""THY1"", ""IL18"", ""SOX4"", ""ZBTB16"", ""TESPA1"", ""DUSP10"", ""IL7R"", ""SLC7A1"", ""IL27RA"", ""NCK1"", ""HLA-DPA1"", ""HAVCR2"", ""CLECL1"", ""NR4A3"", ""DHPS"", ""GATA3"", ""RELA"")"
Adhesion,GOBP_REGULATION_OF_CELL_ADHESION,GO:0030155,"Any process that modulates the frequency, rate or extent of attachment of a cell to another cell or to the extracellular matrix. [GOC:mah]",GO:0030155,"Any process that modulates the frequency, rate or extent of attachment of a cell to another cell or to the extracellular matrix. [GOC:mah]",0.888111888,0.991704326,0.016193705,0.273515957,0.873897109,178,"c(""PTEN"", ""TEK"", ""PTAFR"", ""CD74"", ""SEMA3E"", ""STAT5B"", ""ROCK1"", ""SFTPD"", ""PLXNC1"", ""ST3GAL4"", ""DUSP1"", ""TRIOBP"", ""KIF14"", ""PELI1"", ""NCKAP1L"", ""NCK2"", ""CDH1"", ""MIP"", ""CD36"", ""TMEM102"", ""ZBTB7B"", ""DLG1"", ""DAG1"", ""YTHDF2"", ""PTPRA"", ""GREM1"", ""PRLR"", ""CHRD"", ""NDNF"", ""DAB2"", ""VAV3"", ""APOD"", ""SWAP70"", ""DACT2"", ""SRC"", ""CIB1"", ""ALOX5"", ""LMO7"", ""SMAD7"", ""AJAP1"", ""PDE5A"", ""WNT4"", ""S1PR1"", ""ERBB3"", ""ABI3BP"", ""MYOC"", ""ADAM10"", ""DENND6A"", ""PTPRU"", ""MEN1"", ""ADAM22"", ""APOA1"", ""RC3H1"", ""RDX"", ""THY1"", ""RSU1"", ""PIK3CG"", 
""TRPV4"", ""PTPN2"", ""IL18"", ""TESK1"", ""SOX4"", ""STK4"", ""LAPTM5"", ""PPP3CA"", ""PML"", ""KNG1"", ""CCDC80"", ""FLCN"", ""ZBTB16"", ""TESPA1"", ""DUSP10"", ""ADAM19"", ""UBASH3B"", ""CEACAM6"", ""IL7R"", ""SLC7A1"", ""IL27RA"", ""CARMIL1"", ""CEACAM1"", ""NCK1"", ""HLA-DPA1"", ""HAVCR2"", ""CLECL1"", ""PLXNA3"", ""NR4A3"", ""PLA2G2F"", ""TWSG1"", ""EPCAM"", ""EGFL6"", ""DHPS"", ""GATA3"", ""RELA"")"
Adhesion,GOBP_REGULATION_OF_CELL_CELL_ADHESION,GO:0022407,"Any process that modulates the frequency, rate or extent of attachment of a cell to another cell. [GOC:isa_complete]",GO:0022407,"Any process that modulates the frequency, rate or extent of attachment of a cell to another cell. [GOC:isa_complete]",0.975024975,1,0.007301672,0.241360364,0.747927928,104,"c(""PTAFR"", ""CD74"", ""STAT5B"", ""SFTPD"", ""ST3GAL4"", ""PELI1"", ""NCKAP1L"", ""NCK2"", ""CDH1"", ""ZBTB7B"", ""DLG1"", ""YTHDF2"", ""SWAP70"", ""SRC"", ""ALOX5"", ""SMAD7"", ""PDE5A"", ""WNT4"", ""DENND6A"", ""PTPRU"", ""APOA1"", ""RC3H1"", ""RDX"", ""THY1"", ""TRPV4"", ""PTPN2"", ""IL18"", ""SOX4"", ""LAPTM5"", ""ZBTB16"", ""TESPA1"", ""DUSP10"", ""ADAM19"", ""UBASH3B"", ""CEACAM6"", ""IL7R"", ""SLC7A1"", ""IL27RA"", ""CEACAM1"", ""NCK1"", ""HLA-DPA1"", ""HAVCR2"", ""CLECL1"", ""NR4A3"", ""PLA2G2F"", ""TWSG1"", ""EPCAM"", ""DHPS"", ""GATA3"", ""RELA"", ""CCL28"", ""EFNB3"", ""MAD1L1"", ""SPINT2"", 
""SKAP1"", ""JAK2"", ""CD3E"", ""PLG"", ""BMP6"", ""TNFRSF21"", ""IDO1"", ""ANXA1"")"
Adhesion,GOCC_ANCHORING_JUNCTION,GO:0070161,A cell junction that mechanically attaches a cell (and its cytoskeleton) to neighboring cells or to the extracellular matrix. [ISBN:0815332181],GO:0070161,A cell junction that mechanically attaches a cell (and its cytoskeleton) to neighboring cells or to the extracellular matrix. [ISBN:0815332181],0.753246753,0.980253111,0.026113962,0.289580306,0.927891283,192,"c(""TEK"", ""ACTR3"", ""LAMA1"", ""RPS29"", ""OPRM1"", ""FLRT2"", ""PIKFYVE"", ""RND3"", ""ANXA2"", ""CDH3"", ""PNN"", ""GIT2"", ""SPTBN2"", ""ADGRE5"", ""SRP68"", ""STARD10"", ""POF1B"", ""ARPC3"", ""PLEKHA7"", ""TRIOBP"", ""ACTN2"", ""ABCB11"", ""CDH1"", ""MIP"", ""DLG1"", ""PABPC1"", ""GSN"", ""DAG1"", ""USP53"", ""CRB1"", ""YWHAE"", ""CAPN2"", ""SHROOM2"", ""TCHP"", ""PDLIM2"", ""PTPRA"", ""KRIT1"", ""NUMB"", ""SAV1"", ""SCN2A"", ""DAB2"", ""CNN1"", ""GRB7"", ""SRC"", ""SPTBN4"", ""GAB1"", ""LMO7"", ""CD2AP"", ""PIP5K1C"", ""SMAD7"", ""PAK1"", ""RPL27"", ""ITGB3"", ""AJAP1"", ""CLIC4"", ""ALCAM"", ""CDH20"", 
""ACTB"", ""PAK2"", ""ADAM10"", ""PTPRU"", ""SDCBP"", ""CLDN16"", ""RPL9"", ""RDX"", ""THY1"", ""RSU1"", ""MYH2"", ""TRPV4"", ""PPP3CA"", ""LCP2"", ""FLT1"", ""ECT2"", ""TSPAN33"", ""FLCN"", ""FAT2"", ""PDXP"")"
Adhesion,GOCC_CELL_SUBSTRATE_JUNCTION,GO:0030055,"A cell junction that forms a connection between a cell and the extracellular matrix. [GOC:aruk, GOC:bc, GOC:hb, GOC:mah, PMID:10419689, PMID:1643657, PMID:16805308, PMID:26923917, PMID:8314002]",GO:0030055,"A cell junction that forms a connection between a cell and the extracellular matrix. [GOC:aruk, GOC:bc, GOC:hb, GOC:mah, PMID:10419689, PMID:1643657, PMID:16805308, PMID:26923917, PMID:8314002]",0.517482517,0.933935183,0.044064035,0.321906434,0.994086896,97,"c(""TEK"", ""ACTR3"", ""RPS29"", ""OPRM1"", ""FLRT2"", ""RND3"", ""GIT2"", ""ADGRE5"", ""SRP68"", ""ARPC3"", ""TRIOBP"", ""ACTN2"", ""PABPC1"", ""GSN"", ""DAG1"", ""YWHAE"", ""CAPN2"", ""PTPRA"", ""NUMB"", ""DAB2"", ""CNN1"", ""GRB7"", ""SRC"", ""LMO7"", ""PIP5K1C"", ""PAK1"", ""RPL27"", ""ITGB3"", ""ALCAM"", ""ACTB"", ""ADAM10"", ""SDCBP"", ""RPL9"", ""RDX"", ""THY1"", ""RSU1"", ""TRPV4"")"
Adhesion,GOCC_CELL_SURFACE,GO:0009986,"The external part of the cell wall and/or plasma membrane. [GOC:jl, GOC:mtg_sensu, GOC:sm]",GO:0009986,"The external part of the cell wall and/or plasma membrane. [GOC:jl, GOC:mtg_sensu, GOC:sm]",0.676323676,0.969155509,0.031564907,0.297900378,0.95357112,189,"c(""LRFN4"", ""TEK"", ""SEMA7A"", ""GFRA2"", ""RTN4R"", ""FZD6"", ""ABCA1"", ""SORT1"", ""APOH"", ""CD74"", ""GHRHR"", ""TSHR"", ""INTU"", ""ANXA2"", ""AIMP1"", ""DIP2A"", ""PDGFRA"", ""PCSK6"", ""CLEC2B"", ""ADAM29"", ""ABCB11"", ""ITGA9"", ""GSR"", ""SLC46A1"", ""ANTXR2"", ""CD36"", ""LY75"", ""TMEM102"", ""SLC39A6"", ""HLA-C"", ""DAG1"", ""UMODL1"", ""CAPN2"", ""SRPX2"", ""SLC46A2"", ""GREM1"", ""KCNJ3"", ""EPHA5"", ""PRLR"", ""LMAN2"", ""CDH17"", ""CSF1R"", ""CLCN3"", ""ENTPD6"", ""GLRA1"", ""FCRL4"", ""MAP3K5"", ""LMO7"", ""SLC6A1"", ""GRIN1"", ""ITGB3"", ""AJAP1"", ""FGF10"", ""NOTCH2"", ""CLIC4"", 
""WNT4"", ""ALCAM"", ""DCBLD2"", ""S1PR1"", ""CNTN2"", ""ADAM10"", ""MSR1"", ""GRIN2A"", ""AQP11"", ""P2RY1"", ""CD5L"", ""THY1"", ""KCNK2"", ""TRPV4"", ""ROR1"", ""AQP4"")"
