Aggregated,pathway,gs_number.x,gs_description.x,gs_number.y,gs_description.y,pval,padj,log2err,ES,NES,size,leadingEdge
Adhesion,GOBP_CELL_CELL_ADHESION,GO:0098609,The attachment of one cell to another cell via adhesion molecules. [GOC:dos],GO:0098609,The attachment of one cell to another cell via adhesion molecules. [GOC:dos],0.261569416,1,0.077073673,-0.267267305,-1.089267942,326,"c(""GTPBP4"", ""PDLIM5"", ""NINJ2"", ""PDGFRA"", ""JAM2"", ""SPN"", ""ZAP70"", ""HLA-DPB1"", ""CSRP1"", ""CD300A"", ""IL18"", ""CD47"", ""JAML"", ""PIK3CA"", ""BMP5"", ""PCDHGB3"", ""KIFAP3"", ""PCDHGA6"", ""PCDHGB5"", ""PCDHGB4"", ""PCDHGA8"", ""PCDHGA7"", ""GLI3"", ""CD28"", ""PCDHGA2"", ""PCDHGA1"", ""PCDHGA3"", ""PCDHGB1"", ""PCDHGA4"", ""PCDHGB2"", ""KLRC4-KLRK1"", ""PCDHGA5"", ""SERPINB8"", ""ABAT"", ""RAC2"", ""CDH3"", ""FSTL3"", ""PCDHGB6"", ""PCDHGA9"", ""CD164"", ""BLK"", ""ITGA5"", ""PCDHGA10"", ""SKAP1"", ""MINK1"", ""SCARF2"", ""NOD2"", ""HLA-DRB1"", ""KLRK1"", ""SASH3"", ""PIK3CB"", 
""TTYH1"", ""IL10"", ""HLX"", ""OBSL1"", ""IL20RB"", ""ITGAD"", ""MILR1"", ""PDLIM1"", ""XG"", ""HSPB1"", ""ITGA3"", ""LRRC32"", ""YTHDF2"", ""VTCN1"", ""PCDHGC3"", ""ADAM8"", ""SMAD7"", ""PCDHGA12"", ""LCK"", ""TNFSF11"", ""CD93"", ""PCDH19"", ""VSIG10"", ""HLA-DMB"", ""AKNA"", ""ADAMTS18"", ""XBP1"", ""ITCH"", ""SIRPA"", ""AJUBA"", ""WNT4"", ""LIMS1"", ""PIK3R6"", ""PPM1F"", ""VSIG4"", ""CLIC1"", ""ITGAV"", ""BCL10"", ""ACTB"", ""ITGA1"", ""HLA-DRB5"", ""ADGRL1"", ""CR1"", ""ZC3H8"", ""SPTA1"")"
Adhesion,GOBP_LEUKOCYTE_CELL_CELL_ADHESION,GO:0007159,The attachment of a leukocyte to another cell via adhesion molecules. [GOC:go_curators],GO:0007159,The attachment of a leukocyte to another cell via adhesion molecules. [GOC:go_curators],0.453974895,1,0.052163031,-0.263583634,-1.021491246,139,"c(""JAM2"", ""SPN"", ""ZAP70"", ""HLA-DPB1"", ""CD300A"", ""IL18"", ""CD47"", ""PIK3CA"", ""GLI3"", ""CD28"", ""KLRC4-KLRK1"", ""RAC2"", ""ITGA5"", ""SKAP1"", ""NOD2"", ""HLA-DRB1"", ""KLRK1"", ""SASH3"", ""IL10"", ""HLX"", ""IL20RB"", ""LRRC32"", ""VTCN1"", ""ADAM8"", ""SMAD7"", ""LCK"", ""TNFSF11"", ""HLA-DMB"", ""XBP1"", ""ITCH"", ""SIRPA"", ""PIK3R6"", ""VSIG4"", ""BCL10"", ""HLA-DRB5"", ""CR1"", ""ZC3H8"", ""SPTA1"", ""DOCK8"", ""SLC39A8"", ""IL23R"", ""HLA-DPA1"", ""BMP7"", ""NCKAP1L"", ""DLG1"", ""ITGB1"", ""CD55"", ""NFKBIZ"", ""BTN2A2"", ""KLF4"", ""CD44"", ""ZBTB7B"", ""FCHO1"", ""PRKAR1A"", 
""PNP"", ""FOXO3"", ""AP3B1"", ""DPP4"")"
Adhesion,GOBP_POSITIVE_REGULATION_OF_CELL_ADHESION,GO:0045785,"Any process that activates or increases the frequency, rate or extent of cell adhesion. [GOC:go_curators]",GO:0045785,"Any process that activates or increases the frequency, rate or extent of cell adhesion. [GOC:go_curators]",0.81595092,1,0.023011694,-0.212619477,-0.842032258,189,"c(""ZAP70"", ""HLA-DPB1"", ""IL18"", ""CD47"", ""SPOCK2"", ""PIK3CA"", ""TSC1"", ""KIFAP3"", ""GLI3"", ""CD28"", ""PPP3CA"", ""VAV3"", ""KLRC4-KLRK1"", ""FSTL3"", ""ITGA5"", ""SKAP1"", ""NEDD9"", ""NOD2"", ""HLA-DRB1"", ""KLRK1"", ""SASH3"", ""CRKL"", ""IL10"", ""HLX"", ""CDC42"", ""ITGA3"", ""CASS4"", ""VTCN1"", ""NDNF"", ""ADAM8"", ""SMAD7"", ""LCK"", ""TNFSF11"", ""EGFL6"", ""HLA-DMB"", ""XBP1"", ""SIRPA"", ""WNT4"", ""LIMS1"", ""PIK3R6"", ""PPM1F"", ""ITGAV"", ""BCL10"", ""HLA-DRB5"", ""CR1"", ""SPTA1"", ""FRMD5"", ""ARL2"", ""DOCK8"", ""ABL1"", ""IL23R"", ""STX4"", ""HLA-DPA1"", ""BMP7"", ""NCKAP1L"", 
""NRP1"", ""CD55"", ""NFKBIZ"", ""BTN2A2"", ""CD44"", ""TFE3"", ""ZBTB7B"", ""FCHO1"")"
Adhesion,GOBP_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION,GO:0022409,Any process that activates or increases the rate or extent of cell adhesion to another cell. [GOC:isa_complete],GO:0022409,Any process that activates or increases the rate or extent of cell adhesion to another cell. [GOC:isa_complete],0.795574289,1,0.02604377,-0.217858097,-0.836113615,123,"c(""ZAP70"", ""HLA-DPB1"", ""IL18"", ""CD47"", ""PIK3CA"", ""KIFAP3"", ""GLI3"", ""CD28"", ""KLRC4-KLRK1"", ""FSTL3"", ""SKAP1"", ""NOD2"", ""HLA-DRB1"", ""KLRK1"", ""SASH3"", ""IL10"", ""HLX"", ""VTCN1"", ""ADAM8"", ""SMAD7"", ""LCK"", ""TNFSF11"", ""HLA-DMB"", ""XBP1"", ""SIRPA"", ""PIK3R6"", ""BCL10"", ""HLA-DRB5"", ""CR1"", ""SPTA1"", ""DOCK8"", ""IL23R"", ""HLA-DPA1"", ""BMP7"", ""NCKAP1L"", ""CD55"", ""NFKBIZ"", ""BTN2A2"", ""CD44"", ""ZBTB7B"", ""FCHO1"", ""PNP"", ""FOXO3"", ""AP3B1"", ""DPP4"")"
Adhesion,GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_CELL_CELL_ADHESION,GO:1903039,"Any process that activates or increases the frequency, rate or extent of leukocyte cell-cell adhesion. [GO_REF:0000058, GOC:BHF, GOC:rl, GOC:TermGenie, PMID:21106532]",GO:1903039,"Any process that activates or increases the frequency, rate or extent of leukocyte cell-cell adhesion. [GO_REF:0000058, GOC:BHF, GOC:rl, GOC:TermGenie, PMID:21106532]",0.650371945,1,0.036378306,-0.240331492,-0.907021349,102,"c(""ZAP70"", ""HLA-DPB1"", ""IL18"", ""CD47"", ""PIK3CA"", ""GLI3"", ""CD28"", ""KLRC4-KLRK1"", ""SKAP1"", ""NOD2"", ""HLA-DRB1"", ""KLRK1"", ""SASH3"", ""HLX"", ""VTCN1"", ""ADAM8"", ""LCK"", ""TNFSF11"", ""HLA-DMB"", ""XBP1"", ""SIRPA"", ""PIK3R6"", ""BCL10"", ""HLA-DRB5"", ""CR1"", ""SPTA1"", ""DOCK8"", ""IL23R"", ""HLA-DPA1"", ""NCKAP1L"", ""CD55"", ""NFKBIZ"", ""BTN2A2"", ""CD44"", ""ZBTB7B"", ""FCHO1"", ""PNP"", ""FOXO3"", ""AP3B1"", ""DPP4"", ""HSPD1"", ""SRC"", ""SART1"")"
Adhesion,GOBP_REGULATION_OF_CELL_ADHESION,GO:0030155,"Any process that modulates the frequency, rate or extent of attachment of a cell to another cell or to the extracellular matrix. [GOC:mah]",GO:0030155,"Any process that modulates the frequency, rate or extent of attachment of a cell to another cell or to the extracellular matrix. [GOC:mah]",0.878269618,1,0.017469811,-0.206739523,-0.839407392,296,"c(""ARHGDIA"", ""GTPBP4"", ""SPN"", ""ZAP70"", ""HLA-DPB1"", ""CD300A"", ""PPP2CA"", ""IL18"", ""CD47"", ""SPOCK2"", ""PIK3CA"", ""TSC1"", ""KIFAP3"", ""GLI3"", ""PTPRO"", ""CD28"", ""PPP3CA"", ""VAV3"", ""SPINK5"", ""KLRC4-KLRK1"", ""PPP1CB"", ""ABAT"", ""RAC2"", ""FSTL3"", ""CD164"", ""BLK"", ""ITGA5"", ""SKAP1"", ""MINK1"", ""PRLR"", ""NEDD9"", ""NOD2"", ""FAM107A"", ""HLA-DRB1"", ""KLRK1"", ""SASH3"", ""PIK3CB"", ""CRKL"", ""IL10"", ""HLX"", ""CDC42"", ""IL20RB"", ""ITGA3"", ""LRRC32"", ""GPR4"", ""YTHDF2"", ""CASS4"", ""VTCN1"", ""NDNF"", ""ADAM8"", ""SMAD7"", ""SLK"", ""LCK"", ""TNFSF11"", ""EGFL6"", 
""HLA-DMB"", ""AKNA"", ""ADAMTS18"", ""XBP1"", ""ITCH"", ""SIRPA"", ""WNT4"", ""LIMS1"", ""PIK3R6"", ""PPM1F"", ""VSIG4"", ""ITGAV"", ""ADAM10"", ""BCL10"", ""HLA-DRB5"", ""PTPRA"", ""PEAK1"", ""CR1"", ""ZC3H8"", ""SPTA1"", ""ATXN3"", ""FRMD5"", ""ARL2"", ""DOCK8"", ""ABL1"", ""IL23R"", ""STX4"", ""HLA-DPA1"", ""BMP7"", ""NCKAP1L"", ""DLG1"", ""NRP1"", ""CD55"", ""NFKBIZ"", ""PTK2"", ""BTN2A2"", ""KLF4"", ""CD44"", ""TFE3"", ""ZBTB7B"", ""ADAM22"", ""FCHO1"", ""PRKAR1A"")"
Adhesion,GOBP_REGULATION_OF_CELL_CELL_ADHESION,GO:0022407,"Any process that modulates the frequency, rate or extent of attachment of a cell to another cell. [GOC:isa_complete]",GO:0022407,"Any process that modulates the frequency, rate or extent of attachment of a cell to another cell. [GOC:isa_complete]",0.565667011,1,0.04157179,-0.24715953,-0.970375728,172,"c(""GTPBP4"", ""SPN"", ""ZAP70"", ""HLA-DPB1"", ""CD300A"", ""IL18"", ""CD47"", ""PIK3CA"", ""KIFAP3"", ""GLI3"", ""CD28"", ""KLRC4-KLRK1"", ""ABAT"", ""FSTL3"", ""BLK"", ""SKAP1"", ""MINK1"", ""NOD2"", ""HLA-DRB1"", ""KLRK1"", ""SASH3"", ""IL10"", ""HLX"", ""IL20RB"", ""LRRC32"", ""YTHDF2"", ""VTCN1"", ""ADAM8"", ""SMAD7"", ""LCK"", ""TNFSF11"", ""HLA-DMB"", ""AKNA"", ""ADAMTS18"", ""XBP1"", ""ITCH"", ""SIRPA"", ""WNT4"", ""PIK3R6"", ""PPM1F"", ""VSIG4"", ""BCL10"", ""HLA-DRB5"", ""CR1"", ""ZC3H8"", ""SPTA1"", ""DOCK8"", ""ABL1"", ""IL23R"", ""HLA-DPA1"", ""BMP7"", ""NCKAP1L"", ""DLG1"", ""CD55"", ""NFKBIZ"", 
""PTK2"", ""BTN2A2"", ""KLF4"", ""CD44"", ""ZBTB7B"", ""FCHO1"", ""PRKAR1A"", ""PNP"", ""BMP6"", ""FOXO3"", ""AP3B1"", ""DPP4"")"
Adhesion,GOCC_ANCHORING_JUNCTION,GO:0070161,A cell junction that mechanically attaches a cell (and its cytoskeleton) to neighboring cells or to the extracellular matrix. [ISBN:0815332181],GO:0070161,A cell junction that mechanically attaches a cell (and its cytoskeleton) to neighboring cells or to the extracellular matrix. [ISBN:0815332181],0.813253012,1,0.022155124,-0.215252822,-0.880801687,362,"c(""FLNC"", ""ALOX15B"", ""PDLIM5"", ""EHD3"", ""ERBIN"", ""PPIB"", ""SCN4B"", ""IGF2R"", ""JAM2"", ""COL17A1"", ""TJAP1"", ""ZAP70"", ""CSRP1"", ""ARPC1B"", ""SCARB2"", ""LSR"", ""JAML"", ""PIK3CA"", ""DOCK7"", ""YWHAH"", ""SNTB1"", ""FZD5"", ""MPP1"", ""PPP3CA"", ""HSPA1B"", ""LAMA1"", ""SNAP23"", ""USP53"", ""SCN5A"", ""PPP1CB"", ""RAC2"", ""CDH3"", ""FHL1"", ""P2RX7"", ""ITGA5"", ""SKAP1"", ""ZFYVE21"", ""SYMPK"", ""ENG"", ""FRMD6"", ""SCARF2"", ""NEDD9"", ""FAM107A"", ""RPS11"", ""MTDH"", ""SYNPO"", ""OBSL1"", ""CDC42"", ""LAMTOR3"", ""PDLIM1"", ""HSPB1"", ""ITGA3"", ""RPLP2"", ""WTIP"", ""TM4SF20"", 
""WAS"", ""CASS4"", ""RPGRIP1L"", ""SMAD7"", ""EIF4G2"", ""PCDHGA12"", ""OCEL1"", ""MAP2K1"", ""RPS3A"", ""UBA1"", ""MPP2"", ""RPL27"", ""VSIG10"", ""RPL7"", ""BAIAP2L2"", ""CALB2"", ""RAB13"", ""CBL"", ""AJUBA"", ""LIMS1"", ""DIXDC1"", ""RPS29"", ""HEG1"", ""ITGAV"", ""ADAM10"", ""IRF2"", ""ACTB"", ""IQGAP1"", ""ABCB11"", ""ITGA1"", ""PTPRA"", ""ATP1B1"", ""PEAK1"", ""CDCA3"", ""GAB1"", ""LAP3"", ""PPFIA1"", ""LMLN"", ""FRMD5"", ""CDH22"", ""IQGAP3"", ""ARL2"", ""SMPX"", ""STRN"", ""ITGBL1"", ""FHL2"", ""SRCIN1"", ""SIRT2"", ""ARHGAP31"", ""MPZL1"", ""LCP2"", ""TGFBR1"", ""SLA"", ""DLG1"", ""NRP1"", ""ITGB1"", 
""BSG"", ""HPN"", ""PTK2"", ""CCDC85C"", ""CD44"", ""SYNPO2"")"
Adhesion,GOCC_CELL_SUBSTRATE_JUNCTION,GO:0030055,"A cell junction that forms a connection between a cell and the extracellular matrix. [GOC:aruk, GOC:bc, GOC:hb, GOC:mah, PMID:10419689, PMID:1643657, PMID:16805308, PMID:26923917, PMID:8314002]",GO:0030055,"A cell junction that forms a connection between a cell and the extracellular matrix. [GOC:aruk, GOC:bc, GOC:hb, GOC:mah, PMID:10419689, PMID:1643657, PMID:16805308, PMID:26923917, PMID:8314002]",0.927328557,1,0.014773504,-0.192810134,-0.767952463,212,"c(""FLNC"", ""ALOX15B"", ""EHD3"", ""ERBIN"", ""PPIB"", ""IGF2R"", ""COL17A1"", ""CSRP1"", ""ARPC1B"", ""SCARB2"", ""DOCK7"", ""SNTB1"", ""HSPA1B"", ""SNAP23"", ""PPP1CB"", ""RAC2"", ""FHL1"", ""ITGA5"", ""ZFYVE21"", ""ENG"", ""SCARF2"", ""NEDD9"", ""FAM107A"", ""RPS11"", ""CDC42"", ""LAMTOR3"", ""PDLIM1"", ""HSPB1"", ""ITGA3"", ""RPLP2"", ""TM4SF20"", ""CASS4"", ""MAP2K1"", ""RPS3A"", ""RPL27"", ""RPL7"", ""CBL"", ""AJUBA"", ""LIMS1"", ""DIXDC1"", ""RPS29"", ""ITGAV"", ""ADAM10"", ""IRF2"", ""ACTB"", ""IQGAP1"", ""ITGA1"", ""PTPRA"", ""PEAK1"", ""LAP3"", ""PPFIA1"", ""LMLN"", ""ARL2"", ""SMPX"", ""ITGBL1"", 
""FHL2"", ""SRCIN1"", ""ARHGAP31"", ""MPZL1"", ""SLA"", ""NRP1"", ""ITGB1"", ""BSG"", ""PTK2"", ""CD44"", ""SYNPO2"")"
Adhesion,GOCC_CELL_SURFACE,GO:0009986,"The external part of the cell wall and/or plasma membrane. [GOC:jl, GOC:mtg_sensu, GOC:sm]",GO:0009986,"The external part of the cell wall and/or plasma membrane. [GOC:jl, GOC:mtg_sensu, GOC:sm]",0.957618567,1,0.010679451,-0.183611591,-0.741787175,274,"c(""CHRNA4"", ""PDGFRA"", ""IGF2R"", ""JAM2"", ""SPN"", ""NRDC"", ""HLA-DPB1"", ""SLC2A4"", ""CD47"", ""CD163L1"", ""P2RX1"", ""FZD5"", ""CD28"", ""SCN5A"", ""KLRC4-KLRK1"", ""PKD2L1"", ""P2RX7"", ""NOTCH3"", ""ITGA5"", ""ACHE"", ""GRIA2"", ""ENG"", ""CCRL2"", ""PRLR"", ""TNFRSF10A"", ""SLC6A3"", ""NOD2"", ""TNFRSF1A"", ""HLA-DRB1"", ""KLRK1"", ""CNTFR"", ""AQP11"", ""BACE1"", ""KCNC1"", ""CD8B"", ""FURIN"", ""TLR4"", ""ITGAD"", ""ITGA3"", ""AREG"", ""CLEC6A"", ""LRRC32"", ""PLAT"", ""PCSK6"", ""VTCN1"", ""ADAM8"", ""DNAI2"", ""SLC6A1"", ""TSPAN14"", ""CD93"", ""IL3RA"", ""TGFB3"", ""APMAP"", ""SIRPA"", 
""F2"", ""ENO2"", ""WNT4"", ""IL5RA"", ""NCR2"", ""HEG1"", ""ITGAV"", ""ARSB"", ""ADAM10"", ""FGFR2"", ""SLC39A6"", ""ZPLD1"", ""ABCB11"", ""ITGA1"", ""PROM1"", ""KCNB1"", ""CR1"", ""CRLF2"", ""ADAMTS13"", ""ABCG2"", ""ANTXR2"", ""ITGBL1"", ""MPZL1"", ""IL1R1"", ""IL23R"", ""STX4"", ""TMEM123"", ""TGFBR1"", ""HLA-DPA1"", ""ADAM29"", ""ITGB1"", ""HPN"", ""CD55"", ""CLEC4E"", ""BTN2A2"", ""CD44"", ""SLAMF8"")"
